scenario,temperature_offset_k,final_time_s,final_distance_m,final_mass_kg,fuel_used_kg,mean_fuel_flow_kgs,mean_fuel_per_meter_kgpm,max_fuel_flow_kgs,min_implicit_denominator,fuel_delta_vs_standard_kg,fuel_delta_vs_standard_pct
temp_minus_10K,-10.0,758.6737821577282,200668.44247343735,61488.79817401451,10961.201825985489,14.447845811688609,0.054623445973257266,15.696992749609961,0.9037884071059402,-43.334040108529734,-0.3937834419900059
temp_minus_5K,-5.0,757.6978274472467,200668.44247343735,61466.020991641206,10983.979008358794,14.496516435007903,0.054736952522132384,15.753598553705896,0.9015654035770518,-20.556857735224185,-0.1868034961707176
temp_minus_2K,-2.0,757.0875282142871,200668.44247343735,61453.42607446177,10996.573925538229,14.524838299047694,0.05479971733469678,15.786484250736148,0.9002316014551803,-7.961940555789624,-0.07235144355629837
standard_isa,0.0,756.6705633397764,200668.44247343735,61445.46413390598,11004.535866094018,14.543364575360817,0.05483939442820312,15.8079727643133,0.89934240004168,0.0,0.0
temp_plus_2K,2.0,756.2456343592938,200668.44247343738,61437.84323395134,11012.156766048662,14.561613668525013,0.05487737199886997,15.829120941499527,0.8984531986314214,7.6208999546433915,0.06925235236975402
temp_plus_5K,5.0,755.5935241762724,200668.44247343735,61427.03865126185,11022.96134873815,14.588480440928983,0.05493121495771448,15.860220054059019,0.8971193965063082,18.42548264413199,0.16743534546425157
temp_plus_10K,10.0,754.4682531360127,200668.44247343732,61410.653718118316,11039.346281881684,14.631955998142645,0.05501286672588279,15.910447737708845,0.8948963929774199,34.81041578766599,0.3163278870753656
