strategy,time_s,height_m
constant_speed,0.0,9500.0
constant_speed,0.0003738312597157,9500.000557896024
constant_speed,0.0041121438568733,9500.006136856253
constant_speed,0.0414952698284491,9500.061926458546
constant_speed,0.415326529544207,9500.619822481483
constant_speed,4.153639126701786,9506.19878271087
constant_speed,9.153639126701789,9513.660652316994
constant_speed,14.153639126701789,9521.122521923118
constant_speed,19.153639126701787,9528.584391529244
constant_speed,24.153639126701787,9536.046261135369
constant_speed,29.153639126701787,9543.508130741491
constant_speed,34.15363912670179,9550.970000347615
constant_speed,39.15363912670179,9558.431869953742
constant_speed,44.15363912670179,9565.893739559866
constant_speed,49.15363912670179,9573.35560916599
constant_speed,54.15363912670179,9580.817478772116
constant_speed,59.15363912670179,9588.27934837824
constant_speed,64.15363912670179,9595.741217984363
constant_speed,69.15363912670179,9603.203087590487
constant_speed,74.15363912670179,9610.664957196612
constant_speed,79.15363912670179,9618.126826802736
constant_speed,84.15363912670179,9625.58869640886
constant_speed,89.15363912670179,9633.050566014985
constant_speed,94.1536391267018,9640.512435621107
constant_speed,99.1536391267018,9647.974305227232
constant_speed,104.1536391267018,9655.436174833358
constant_speed,109.1536391267018,9662.898044439482
constant_speed,114.1536391267018,9670.359914045604
constant_speed,119.1536391267018,9677.821783651729
constant_speed,124.1536391267018,9685.283653257857
constant_speed,129.1536391267018,9692.74552286398
constant_speed,134.1536391267018,9700.207392470104
constant_speed,139.1536391267018,9707.669262076226
constant_speed,144.1536391267018,9715.131131682352
constant_speed,149.1536391267018,9722.593001288476
constant_speed,154.1536391267018,9730.0548708946
constant_speed,159.1536391267018,9737.516740500729
constant_speed,164.1536391267018,9744.978610106851
constant_speed,169.1536391267018,9752.440479712976
constant_speed,174.1536391267018,9759.9023493191
constant_speed,179.1536391267018,9767.364218925224
constant_speed,184.1536391267018,9774.82608853135
constant_speed,189.1536391267018,9782.287958137473
constant_speed,194.1536391267018,9789.7498277436
constant_speed,199.1536391267018,9797.211697349723
constant_speed,204.1536391267018,9804.673566955847
constant_speed,209.1536391267018,9812.135436561972
constant_speed,214.1536391267018,9819.597306168096
constant_speed,219.1536391267018,9827.05917577422
constant_speed,224.1536391267018,9834.521045380345
constant_speed,229.1536391267018,9841.98291498647
constant_speed,234.1536391267018,9849.444784592592
constant_speed,239.1536391267018,9856.90665419872
constant_speed,244.1536391267018,9864.368523804842
constant_speed,249.1536391267018,9871.830393410968
constant_speed,254.1536391267018,9879.292263017092
constant_speed,259.1536391267018,9886.75413262322
constant_speed,264.1536391267018,9894.216002229345
constant_speed,269.1536391267018,9901.677871835467
constant_speed,274.1536391267018,9909.139741441591
constant_speed,279.1536391267018,9916.601611047716
constant_speed,284.1536391267018,9924.063480653842
constant_speed,289.1536391267018,9931.525350259964
constant_speed,294.1536391267018,9938.98721986609
constant_speed,299.1536391267018,9946.449089472217
constant_speed,304.1536391267018,9953.91095907834
constant_speed,309.1536391267018,9961.372828684463
constant_speed,314.1536391267018,9968.834698290588
constant_speed,319.1536391267018,9976.296567896712
constant_speed,324.1536391267018,9983.758437502836
constant_speed,329.1536391267018,9991.22030710896
constant_speed,334.1536391267018,9998.682176715083
constant_speed,339.1536391267018,10006.14404632121
constant_speed,344.1536391267018,10013.605915927334
constant_speed,349.1536391267018,10021.067785533458
constant_speed,354.1536391267018,10028.529655139582
constant_speed,359.1536391267018,10035.991524745708
constant_speed,364.1536391267018,10043.45339435183
constant_speed,369.1536391267018,10050.915263957955
constant_speed,374.1536391267018,10058.37713356408
constant_speed,379.1536391267018,10065.839003170204
constant_speed,384.1536391267018,10073.300872776328
constant_speed,389.1536391267018,10080.762742382452
constant_speed,394.1536391267018,10088.224611988577
constant_speed,399.1536391267018,10095.6864815947
constant_speed,404.1536391267018,10103.148351200827
constant_speed,409.1536391267018,10110.610220806951
constant_speed,414.1536391267018,10118.072090413076
constant_speed,419.1536391267018,10125.5339600192
constant_speed,424.1536391267018,10132.995829625324
constant_speed,429.1536391267018,10140.457699231449
constant_speed,434.1536391267018,10147.919568837571
constant_speed,439.1536391267018,10155.381438443696
constant_speed,444.1536391267018,10162.843308049822
constant_speed,449.1536391267018,10170.305177655946
constant_speed,454.1536391267018,10177.767047262072
constant_speed,459.1536391267018,10185.228916868196
constant_speed,464.1536391267018,10192.69078647432
constant_speed,469.1536391267018,10200.152656080443
constant_speed,474.1536391267018,10207.61452568657
constant_speed,479.1536391267018,10215.076395292694
constant_speed,484.1536391267018,10222.538264898818
constant_speed,489.1536391267018,10230.000134504942
constant_speed,494.1536391267018,10237.462004111068
constant_speed,499.1536391267018,10244.92387371719
constant_speed,504.1536391267018,10252.385743323315
constant_speed,509.1536391267018,10259.84761292944
constant_speed,514.1536391267018,10267.309482535564
constant_speed,519.1536391267018,10274.77135214169
constant_speed,524.1536391267018,10282.233221747814
constant_speed,529.1536391267018,10289.69509135394
constant_speed,534.1536391267018,10297.156960960065
constant_speed,539.1536391267018,10304.618830566187
constant_speed,544.1536391267018,10312.080700172311
constant_speed,549.1536391267018,10319.542569778436
constant_speed,554.1536391267018,10327.004439384562
constant_speed,559.1536391267018,10334.466308990684
constant_speed,564.1536391267018,10341.928178596809
constant_speed,569.1536391267018,10349.390048202937
constant_speed,574.1536391267018,10356.851917809056
constant_speed,579.1536391267018,10364.313787415183
constant_speed,584.1536391267018,10371.775657021308
constant_speed,589.1536391267018,10379.237526627432
constant_speed,594.1536391267018,10386.699396233556
constant_speed,599.1536391267018,10394.16126583968
constant_speed,604.1536391267018,10401.623135445803
constant_speed,609.1536391267018,10409.085005051931
constant_speed,614.1536391267018,10416.546874658054
constant_speed,619.1536391267018,10424.008744264178
constant_speed,624.1536391267018,10431.470613870302
constant_speed,629.1536391267018,10438.932483476428
constant_speed,634.1536391267018,10446.394353082553
constant_speed,639.1536391267018,10453.856222688675
constant_speed,644.1536391267018,10461.3180922948
constant_speed,649.1536391267018,10468.779961900926
constant_speed,654.1536391267018,10476.24183150705
constant_speed,659.1536391267018,10483.703701113174
constant_speed,664.1536391267018,10491.1655707193
constant_speed,669.1536391267018,10498.627440325425
constant_speed,674.1536391267018,10506.089309931547
constant_speed,679.1536391267018,10513.551179537671
constant_speed,684.1536391267018,10521.013049143796
constant_speed,689.1536391267018,10528.474918749922
constant_speed,694.1536391267018,10535.936788356046
constant_speed,699.1536391267018,10543.39865796217
constant_speed,704.1536391267018,10550.860527568291
constant_speed,709.1536391267018,10558.32239717442
constant_speed,714.1536391267018,10565.784266780542
constant_speed,719.1536391267018,10573.246136386668
constant_speed,724.1536391267018,10580.708005992792
constant_speed,729.1536391267018,10588.169875598916
constant_speed,734.1536391267018,10595.63174520504
constant_speed,739.1536391267018,10603.093614811163
constant_speed,744.1536391267018,10610.55548441729
constant_speed,749.1536391267018,10618.017354023414
