strategy,time_s,mass_kg
constant_speed,0.0,72450.0
constant_speed,0.0003738312597157,72449.99446307325
constant_speed,0.0041121438568733,72449.93909382896
constant_speed,0.0414952698284491,72449.38540371346
constant_speed,0.415326529544207,72443.84873528623
constant_speed,4.153639126701786,72388.50531721367
constant_speed,9.153639126701789,72314.54947937217
constant_speed,14.153639126701789,72240.66919863643
constant_speed,19.153639126701787,72166.86439781338
constant_speed,24.153639126701787,72093.13499978885
constant_speed,29.153639126701787,72019.48092752745
constant_speed,34.15363912670179,71945.90210407248
constant_speed,39.15363912670179,71872.39845254587
constant_speed,44.15363912670179,71798.96989614809
constant_speed,49.15363912670179,71725.61635815809
constant_speed,54.15363912670179,71652.33776193319
constant_speed,59.15363912670179,71579.13403090899
constant_speed,64.15363912670179,71506.00508859934
constant_speed,69.15363912670179,71432.95085859623
constant_speed,74.15363912670179,71359.9712645697
constant_speed,79.15363912670179,71287.06623026778
constant_speed,84.15363912670179,71214.23567951641
constant_speed,89.15363912670179,71141.47953621934
constant_speed,94.1536391267018,71068.79772435807
constant_speed,99.1536391267018,70996.19016799176
constant_speed,104.1536391267018,70923.65679125718
constant_speed,109.1536391267018,70851.19751836856
constant_speed,114.1536391267018,70778.81227361759
constant_speed,119.1536391267018,70706.50098137329
constant_speed,124.1536391267018,70634.26356608197
constant_speed,129.1536391267018,70562.0999522671
constant_speed,134.1536391267018,70490.01006452931
constant_speed,139.1536391267018,70417.9938275462
constant_speed,144.1536391267018,70346.05116607237
constant_speed,149.1536391267018,70274.18200493927
constant_speed,154.1536391267018,70202.38626905515
constant_speed,159.1536391267018,70130.66388340498
constant_speed,164.1536391267018,70059.01477305038
constant_speed,169.1536391267018,69987.43886312953
constant_speed,174.1536391267018,69915.93607885706
constant_speed,179.1536391267018,69844.50634552405
constant_speed,184.1536391267018,69773.14958849786
constant_speed,189.1536391267018,69701.86573322216
constant_speed,194.1536391267018,69630.65470521673
constant_speed,199.1536391267018,69559.51643007746
constant_speed,204.1536391267018,69488.45083347628
constant_speed,209.1536391267018,69417.45784116104
constant_speed,214.1536391267018,69346.53737895544
constant_speed,219.1536391267018,69275.68937275898
constant_speed,224.1536391267018,69204.91374854684
constant_speed,229.1536391267018,69134.21043236986
constant_speed,234.1536391267018,69063.57935035441
constant_speed,239.1536391267018,68993.02042870234
constant_speed,244.1536391267018,68922.5335936909
constant_speed,249.1536391267018,68852.11877167263
constant_speed,254.1536391267018,68781.77588907535
constant_speed,259.1536391267018,68711.50487240203
constant_speed,264.1536391267018,68641.30564823073
constant_speed,269.1536391267018,68571.17814321452
constant_speed,274.1536391267018,68501.1222840814
constant_speed,279.1536391267018,68431.13799763424
constant_speed,284.1536391267018,68361.22521075068
constant_speed,289.1536391267018,68291.38385038308
constant_speed,294.1536391267018,68221.6138435584
constant_speed,299.1536391267018,68151.91511737819
constant_speed,304.1536391267018,68082.28759901845
constant_speed,309.1536391267018,68012.73121572961
constant_speed,314.1536391267018,67943.2458948364
constant_speed,319.1536391267018,67873.83156373778
constant_speed,324.1536391267018,67804.48814990693
constant_speed,329.1536391267018,67735.21558089109
constant_speed,334.1536391267018,67666.01378431155
constant_speed,339.1536391267018,67596.88268786353
constant_speed,344.1536391267018,67527.82221931612
constant_speed,349.1536391267018,67458.8323065122
constant_speed,354.1536391267018,67389.91287736838
constant_speed,359.1536391267018,67321.0638598749
constant_speed,364.1536391267018,67252.28518209561
constant_speed,369.1536391267018,67183.5767721678
constant_speed,374.1536391267018,67114.93855830221
constant_speed,379.1536391267018,67046.3704687829
constant_speed,384.1536391267018,66977.87243196723
constant_speed,389.1536391267018,66909.44437628574
constant_speed,394.1536391267018,66841.08623024207
constant_speed,399.1536391267018,66772.79792241294
constant_speed,404.1536391267018,66704.579381448
constant_speed,409.1536391267018,66636.43053606983
constant_speed,414.1536391267018,66568.35131507383
constant_speed,419.1536391267018,66500.34164732811
constant_speed,424.1536391267018,66432.40146177348
constant_speed,429.1536391267018,66364.53068742335
constant_speed,434.1536391267018,66296.72925336365
constant_speed,439.1536391267018,66228.99708875275
constant_speed,444.1536391267018,66161.33412282138
constant_speed,449.1536391267018,66093.74028487263
constant_speed,454.1536391267018,66026.21550428176
constant_speed,459.1536391267018,65958.75971049622
constant_speed,464.1536391267018,65891.37283303551
constant_speed,469.1536391267018,65824.05480149115
constant_speed,474.1536391267018,65756.8055455266
constant_speed,479.1536391267018,65689.62499487717
constant_speed,484.1536391267018,65622.51307934997
constant_speed,489.1536391267018,65555.4697288238
constant_speed,494.1536391267018,65488.49487324911
constant_speed,499.1536391267018,65421.58844264793
constant_speed,504.1536391267018,65354.75036711377
constant_speed,509.1536391267018,65287.98057681155
constant_speed,514.1536391267018,65221.27900197756
constant_speed,519.1536391267018,65154.64557291934
constant_speed,524.1536391267018,65088.08022001565
constant_speed,529.1536391267018,65021.58287371638
constant_speed,534.1536391267018,64955.15346454246
constant_speed,539.1536391267018,64888.79192308582
constant_speed,544.1536391267018,64822.49818000928
constant_speed,549.1536391267018,64756.27216604652
constant_speed,554.1536391267018,64690.113812001975
constant_speed,559.1536391267018,64624.02304875078
constant_speed,564.1536391267018,64557.99980723868
constant_speed,569.1536391267018,64492.04401848198
constant_speed,574.1536391267018,64426.15561356747
constant_speed,579.1536391267018,64360.33452365232
constant_speed,584.1536391267018,64294.58067996405
constant_speed,589.1536391267018,64228.89401380045
constant_speed,594.1536391267018,64163.27445652948
constant_speed,599.1536391267018,64097.72193958922
constant_speed,604.1536391267018,64032.23639448782
constant_speed,609.1536391267018,63966.817752803385
constant_speed,614.1536391267018,63901.465946183926
constant_speed,619.1536391267018,63836.18090634728
constant_speed,624.1536391267018,63770.96256508106
constant_speed,629.1536391267018,63705.81085424256
constant_speed,634.1536391267018,63640.72570575868
constant_speed,639.1536391267018,63575.70705162588
constant_speed,644.1536391267018,63510.75482391011
constant_speed,649.1536391267018,63445.86895474669
constant_speed,654.1536391267018,63381.04937634032
constant_speed,659.1536391267018,63316.2960209649
constant_speed,664.1536391267018,63251.60882096359
constant_speed,669.1536391267018,63186.98770874864
constant_speed,674.1536391267018,63122.432616801336
constant_speed,679.1536391267018,63057.94347767197
constant_speed,684.1536391267018,62993.520223979736
constant_speed,689.1536391267018,62929.162788412665
constant_speed,694.1536391267018,62864.87110372756
constant_speed,699.1536391267018,62800.64510274991
constant_speed,704.1536391267018,62736.48471837387
constant_speed,709.1536391267018,62672.38988356211
