strategy,time_s,climb_rate_mps
constant_speed,0.0,1.492373921224888
constant_speed,0.0003738312597157,1.492373921224888
constant_speed,0.0041121438568733,1.492373921224888
constant_speed,0.0414952698284491,1.492373921224888
constant_speed,0.415326529544207,1.492373921224888
constant_speed,4.153639126701786,1.492373921224888
constant_speed,9.153639126701789,1.492373921224888
constant_speed,14.153639126701789,1.492373921224888
constant_speed,19.153639126701787,1.492373921224888
constant_speed,24.153639126701787,1.492373921224888
constant_speed,29.153639126701787,1.492373921224888
constant_speed,34.15363912670179,1.4923739212248883
constant_speed,39.15363912670179,1.492373921224888
constant_speed,44.15363912670179,1.4923739212248883
constant_speed,49.15363912670179,1.4923739212248883
constant_speed,54.15363912670179,1.492373921224888
constant_speed,59.15363912670179,1.492373921224888
constant_speed,64.15363912670179,1.492373921224888
constant_speed,69.15363912670179,1.492373921224888
constant_speed,74.15363912670179,1.492373921224888
constant_speed,79.15363912670179,1.4923739212248883
constant_speed,84.15363912670179,1.4923739212248877
constant_speed,89.15363912670179,1.4923739212248877
constant_speed,94.1536391267018,1.492373921224888
constant_speed,99.1536391267018,1.492373921224888
constant_speed,104.1536391267018,1.492373921224888
constant_speed,109.1536391267018,1.492373921224888
constant_speed,114.1536391267018,1.492373921224888
constant_speed,119.1536391267018,1.492373921224888
constant_speed,124.1536391267018,1.4923739212248883
constant_speed,129.1536391267018,1.492373921224888
constant_speed,134.1536391267018,1.492373921224888
constant_speed,139.1536391267018,1.4923739212248877
constant_speed,144.1536391267018,1.4923739212248883
constant_speed,149.1536391267018,1.492373921224888
constant_speed,154.1536391267018,1.4923739212248877
constant_speed,159.1536391267018,1.492373921224888
constant_speed,164.1536391267018,1.4923739212248883
constant_speed,169.1536391267018,1.4923739212248883
constant_speed,174.1536391267018,1.492373921224888
constant_speed,179.1536391267018,1.492373921224888
constant_speed,184.1536391267018,1.492373921224888
constant_speed,189.1536391267018,1.492373921224888
constant_speed,194.1536391267018,1.4923739212248874
constant_speed,199.1536391267018,1.492373921224888
constant_speed,204.1536391267018,1.492373921224888
constant_speed,209.1536391267018,1.492373921224888
constant_speed,214.1536391267018,1.4923739212248877
constant_speed,219.1536391267018,1.4923739212248877
constant_speed,224.1536391267018,1.492373921224888
constant_speed,229.1536391267018,1.4923739212248877
constant_speed,234.1536391267018,1.492373921224888
constant_speed,239.1536391267018,1.492373921224888
constant_speed,244.1536391267018,1.492373921224888
constant_speed,249.1536391267018,1.492373921224888
constant_speed,254.1536391267018,1.492373921224888
constant_speed,259.1536391267018,1.492373921224888
constant_speed,264.1536391267018,1.492373921224888
constant_speed,269.1536391267018,1.4923739212248877
constant_speed,274.1536391267018,1.492373921224888
constant_speed,279.1536391267018,1.492373921224888
constant_speed,284.1536391267018,1.4923739212248883
constant_speed,289.1536391267018,1.492373921224888
constant_speed,294.1536391267018,1.492373921224888
constant_speed,299.1536391267018,1.492373921224888
constant_speed,304.1536391267018,1.492373921224888
constant_speed,309.1536391267018,1.492373921224888
constant_speed,314.1536391267018,1.492373921224888
constant_speed,319.1536391267018,1.4923739212248883
constant_speed,324.1536391267018,1.492373921224888
constant_speed,329.1536391267018,1.492373921224888
constant_speed,334.1536391267018,1.492373921224888
constant_speed,339.1536391267018,1.4923739212248883
constant_speed,344.1536391267018,1.492373921224888
constant_speed,349.1536391267018,1.4923739212248877
constant_speed,354.1536391267018,1.492373921224888
constant_speed,359.1536391267018,1.492373921224888
constant_speed,364.1536391267018,1.492373921224888
constant_speed,369.1536391267018,1.4923739212248877
constant_speed,374.1536391267018,1.492373921224888
constant_speed,379.1536391267018,1.492373921224888
constant_speed,384.1536391267018,1.492373921224888
constant_speed,389.1536391267018,1.4923739212248883
constant_speed,394.1536391267018,1.4923739212248877
constant_speed,399.1536391267018,1.4923739212248883
constant_speed,404.1536391267018,1.492373921224888
constant_speed,409.1536391267018,1.492373921224888
constant_speed,414.1536391267018,1.492373921224888
constant_speed,419.1536391267018,1.4923739212248877
constant_speed,424.1536391267018,1.492373921224888
constant_speed,429.1536391267018,1.4923739212248874
constant_speed,434.1536391267018,1.492373921224888
constant_speed,439.1536391267018,1.492373921224888
constant_speed,444.1536391267018,1.4923739212248877
constant_speed,449.1536391267018,1.492373921224888
constant_speed,454.1536391267018,1.492373921224888
constant_speed,459.1536391267018,1.492373921224888
constant_speed,464.1536391267018,1.4923739212248883
constant_speed,469.1536391267018,1.492373921224888
constant_speed,474.1536391267018,1.4923739212248877
constant_speed,479.1536391267018,1.492373921224888
constant_speed,484.1536391267018,1.492373921224888
constant_speed,489.1536391267018,1.492373921224888
constant_speed,494.1536391267018,1.4923739212248883
constant_speed,499.1536391267018,1.492373921224888
constant_speed,504.1536391267018,1.4923739212248883
constant_speed,509.1536391267018,1.492373921224888
constant_speed,514.1536391267018,1.492373921224888
constant_speed,519.1536391267018,1.492373921224888
constant_speed,524.1536391267018,1.492373921224888
constant_speed,529.1536391267018,1.492373921224888
constant_speed,534.1536391267018,1.492373921224888
constant_speed,539.1536391267018,1.492373921224888
constant_speed,544.1536391267018,1.4923739212248877
constant_speed,549.1536391267018,1.492373921224888
constant_speed,554.1536391267018,1.4923739212248883
constant_speed,559.1536391267018,1.4923739212248877
constant_speed,564.1536391267018,1.492373921224888
constant_speed,569.1536391267018,1.492373921224888
constant_speed,574.1536391267018,1.4923739212248883
constant_speed,579.1536391267018,1.492373921224888
constant_speed,584.1536391267018,1.492373921224888
constant_speed,589.1536391267018,1.4923739212248877
constant_speed,594.1536391267018,1.492373921224888
constant_speed,599.1536391267018,1.492373921224888
constant_speed,604.1536391267018,1.492373921224888
constant_speed,609.1536391267018,1.4923739212248877
constant_speed,614.1536391267018,1.4923739212248874
constant_speed,619.1536391267018,1.492373921224888
constant_speed,624.1536391267018,1.492373921224888
constant_speed,629.1536391267018,1.492373921224888
constant_speed,634.1536391267018,1.492373921224888
constant_speed,639.1536391267018,1.4923739212248874
constant_speed,644.1536391267018,1.492373921224888
constant_speed,649.1536391267018,1.492373921224888
constant_speed,654.1536391267018,1.492373921224888
constant_speed,659.1536391267018,1.492373921224888
constant_speed,664.1536391267018,1.492373921224888
constant_speed,669.1536391267018,1.492373921224888
constant_speed,674.1536391267018,1.4923739212248883
constant_speed,679.1536391267018,1.4923739212248877
