h_max_m,nodes,terminal_mass_kg,terminal_mass_slack_kg,final_time_s,max_height_m,max_height_violation_m,scaled_collocation_defect_inf,max_scaled_constraint_violation,status
10950.0,31,62000.0,0.0,805.8168456138425,10950.0,0.0,5.587937520109184e-14,0.0,gate2_feasible
11500.0,31,62000.0,0.0,804.3496052207608,11500.0,0.0,2.397301558247209e-13,0.0,gate2_feasible
12000.0,31,62000.0,2.4847409168220525e-12,802.9507316975968,11994.081367984856,0.0,1.4227723362621015e-14,0.0,gate2_feasible
12500.0,31,62000.0,2.4847409168220525e-12,802.9507316975968,11994.081367984856,0.0,1.4227723362621015e-14,0.0,gate2_feasible
