wind_model,target_distance_m,final_distance_m,final_distance_error_m,final_time_s,final_height_m,final_airspeed_mps,final_mass_kg,fuel_used_kg,fuel_integral_time_kg,fuel_integral_path_kg,fuel_integral_error_kg,max_thrust_n,min_thrust_n,mean_groundspeed_mps,terminal_mass_min_kg,terminal_mass_feasible,baseline_feasible
configured_wind,189781.31,189781.31,0.0,721.7526019874455,10577.123844798727,240.0,62022.74366787976,10427.25633212024,10427.256462866866,10427.254833811505,0.00013074662638246082,51649.825536452634,44508.66228059044,262.9450998547299,62000.0,True,True
no_wind,189781.31,189781.31,0.0,790.7554583333334,10577.123844798727,240.0,61163.47408977418,11286.52591022582,11286.52593893625,11286.52593893625,2.8710430342471227e-05,51195.63885253195,43673.07876172381,239.99999999999997,62000.0,False,False
