nodes,h_max_m,rtol,atol_height_m,atol_speed_mps,atol_mass_kg,atol_time_s,terminal_mass_kg,terminal_mass_signed_error_kg,terminal_speed_signed_error_mps,terminal_height_signed_error_m,terminal_speed_delta_from_previous_mps,terminal_mass_delta_from_previous_kg,success
241,12000.0,1e-08,1e-05,1e-07,7.245e-05,8.000000000000001e-07,62000.01065318232,0.010653182318492327,0.0004807267141302418,-3.2950918466667645e-05,,,True
241,12000.0,1e-10,1.0000000000000001e-07,2.4000000000000004e-09,7.245000000000001e-07,8e-09,62000.01101993403,0.011019934026990086,0.0004775056090124963,-2.78775769402273e-06,-3.2211051177455374e-06,0.00036675170849775895,True
241,12000.0,1e-12,1e-09,2.4e-11,7.2450000000000005e-09,8.000000000000001e-11,62000.0110023292,0.011002329199982341,0.0004779605328621983,-1.6406816939706914e-05,4.5492384970202693e-07,-1.760482700774446e-05,True
