distance_m,height_m,airspeed_mps,mass_kg,time_s,thrust_n,gamma_rad,temperature_k,density_kgm3,sound_speed_mps,pressure_pa,groundspeed_mps,mach,cl,cd,drag_n,dh_dx,dV_dx,dm_dx,dt_dx,scaled_constraint_violation
0.0,9500.0,240.0,72450.0,0.0,71888.43439753723,0.03759491102918333,226.39999999999998,0.43889912259378233,301.6344940486747,28523.228847019436,239.83041469517875,0.7956649678178758,0.5001671047240925,0.03325752096916366,47209.22057114066,0.03761263298009593,-0.00011656328518423273,-0.09022383078960541,0.004169612937837707,0.0
6326.0436666666665,9737.366463332224,239.24786352866954,71888.42393159299,26.41852540648466,70730.3753974414,0.037414106033863415,224.85711798834052,0.42630999898466837,300.604940089105,27516.279373641573,239.08043164762339,0.7958879965770088,0.5141669825789938,0.03389654586884743,46443.70533763569,0.03743157342744413,-0.00012122719207533445,-0.08732033361957112,0.004182692799692963,0.0
12652.087333333333,9972.37829923029,238.51416335639348,71343.93486031318,52.91884236689929,69625.66885383554,0.03685151864681243,223.32954105500312,0.4141197791305657,299.58211339092674,26547.870980723932,238.3522264614291,0.7961562212666373,0.5285410133796412,0.03457100212709701,45731.56350765245,0.036868209590619594,-0.0001107345871778946,-0.0848217191295561,0.004195471612940117,0.0
18978.131,10203.038006859342,237.84217873430953,70814.647754703,79.49667851564323,68387.72611889012,0.036040021388286915,221.83025295541427,0.402416401692505,298.5748210335097,25624.41734251471,237.6877308547064,0.7965915475090111,0.5429483051447147,0.03526567879267832,45077.044192861766,0.03605563342502382,-0.00010171561313465256,-0.08251418100024706,0.004207200752029054,0.0
25304.174666666666,10427.00689135581,237.2354536812437,70299.92156370568,106.1450332132819,66922.1759970385,0.03473890238349874,220.37445520618724,0.3912962969371281,297.5934849987655,24752.811856526172,237.09232123098178,0.7971795944465243,0.5571841168695282,0.03597043630412542,44479.550492146445,0.034752883334545834,-9.010255475541746e-05,-0.08021823695967147,0.004217766289553396,0.0
31630.21833333333,10642.024907812469,236.69755405751633,69799.4327320355,132.8564311387415,65346.858632917734,0.033213567888390604,218.97683809921892,0.3808432774611341,296.64831354136015,23938.78066854312,236.56701065971336,0.7979062858367297,0.5710174572355698,0.03667274214104991,43936.65394692711,0.03322578636374833,-7.995622196845773e-05,-0.0780129919230098,0.004227132080721249,0.0
37956.262,10846.670026846312,236.21973685589415,69312.80492250812,159.6237400245837,63662.64405192362,0.031463070759463786,217.64664482549895,0.37109425335191404,295.74593345644377,23184.28766874925,236.10282661029984,0.7987252236916509,0.5843227592311244,0.03736448891299635,43443.55921037537,0.03147345689698432,-7.110729475682388e-05,-0.0758360281500403,0.004235442727886323,0.0
44282.30566666667,11038.90775146942,235.80388666716945,68840.3338283975,186.4400772344087,61783.57997187915,0.029294763885936406,216.65399873426756,0.3616839437306044,295.0707414694654,22493.316274865145,235.70271243701114,0.7991435731406497,0.5975804157920985,0.03806960590022158,42989.192684261674,0.029303146854915762,-6.036514224697173e-05,-0.07353729868945652,0.004242632550387974,0.0
50608.34933333333,11216.850916413001,235.45494608228717,68382.49822015649,213.2981563060418,59821.48677256608,0.02694765892328196,216.64999999999998,0.3516826965908029,295.0680184296495,21870.929736916885,235.36946035231165,0.7979683712771625,0.6123384562976207,0.038873127327742896,42556.497568442195,0.026954183735830424,-4.995359827035578e-05,-0.07120897002620247,0.004248639558008736,0.0
56934.393,11379.364894866427,235.16555746043787,67939.58503226118,240.19089922352447,57777.95116931696,0.0244203020915039,216.64999999999998,0.34278467942624624,295.0680184296495,21317.567543978705,235.09544031926373,0.7969876190309874,0.6257422263156273,0.03961990002074969,42172.754610186596,0.024425157608190768,-4.153758866979917e-05,-0.06881952526513485,0.004253591641939046,0.0
63260.43666666666,11524.914046838934,234.93583098742917,67512.14868971118,267.11158378687253,55629.14885946926,0.02158734278143734,216.64999999999998,0.335006800899665,295.0680184296495,20833.86608125061,234.88109149428286,0.79620906473618,0.637528354034711,0.040289908098919344,41830.993234356465,0.021590696736741792,-3.109120907919155e-05,-0.06631591327199639,0.004257473403406509,0.0
69586.48033333333,11652.16552299921,234.76740320383527,67100.72619621597,294.0534081780355,53439.16067061841,0.018638127336842843,216.64999999999998,0.32835145198739596,295.0680184296495,20419.97404207455,234.72662765855395,0.7956382547090878,0.6474528768224279,0.04086378524675371,41524.35423921053,0.01864028580635745,-2.215780166717235e-05,-0.06375669298052736,0.0042602750696638225,0.0
75912.524,11760.379424637485,234.65247224831398,66705.6880854383,321.0099870054228,51209.871826958195,0.015570645003516787,216.64999999999998,0.32279591248623374,295.0680184296495,20074.478471042912,234.62402766535408,0.7952487480586112,0.6553945714852,0.0413293919949521,41246.49714449166,0.015571903467162597,-1.4178006802570101e-05,-0.061135935522618014,0.004262138068085282,0.0
82238.56766666667,11848.66567132046,234.59163825377772,66327.44537311669,347.97534640336767,48940.08771286829,0.012339464294716995,216.64999999999998,0.31833312790504376,295.0680184296495,19796.94065370819,234.57377873991396,0.7950425786646524,0.6611868819540029,0.04167256417906254,40992.73335187234,0.012340090611592854,-5.054865350088043e-06,-0.05844677122185439,0.004263051076602897,0.0
88564.61133333333,11916.375367293464,234.5849666778775,65966.28191094536,374.94350475224445,46670.00577998151,0.00906630927635255,216.64999999999998,0.3149523185543956,295.0680184296495,19586.69020784115,234.57532554060734,0.7950199683664042,0.6647064733963998,0.04188256130987854,40759.43519422958,0.009066557695241215,2.945624171232502e-06,-0.055736273095302116,0.004263022965844248,0.0
94890.655,11963.238951248724,234.62650428101836,65622.3131958069,401.9088557536089,44401.00689179959,0.005749458772083007,216.64999999999998,0.31263342386298226,295.0680184296495,19442.47957889963,234.62262635243948,0.7951607413426214,0.6659256220923978,0.04195556203716161,40544.210771200145,0.005749522124819692,1.0186628885940452e-05,-0.053010594066297205,0.004262163524236769,0.0
101216.69866666666,11989.10540601077,234.7158519030807,65295.45229463482,428.86617347911186,42177.80516195775,0.0024282398474918046,216.64999999999998,0.31136082559070083,295.0680184296495,19363.33747817588,234.71515992015992,0.7954635448200631,0.6648195106001928,0.04188932417536059,40346.13405006714,0.002428244620086063,1.8060922591804917e-05,-0.05032758012133444,0.004260483218638955,0.0
