artifact_id,wind_model,idle_thrust_fraction,idle_thrust_n,method,objective,slack_policy,sensitivity_type,multi_initial_policy,continuation_nodes,final_nodes,shooting_control_knots,initial_guess,terminal_mass_kg,terminal_mass_shortfall_kg,fuel_used_kg,fuel_delta_vs_zero_idle_kg,final_time_s,min_thrust_n,max_thrust_n,idle_active_fraction,near_zero_thrust_fraction,reintegration_terminal_height_error_m,reintegration_terminal_speed_error_mps,fuel_identity_residual_kg,max_continuous_scaled_constraint_violation,tf_over_t_base,optimizer_success,optimizer_message,sensitivity_status
q3-T10,no_wind,0.0,0.0,range_domain_reduced_control_shooting_final_fuel_optimization,min_m0_minus_mf,s_fixed_0,local_reoptimization,single_start_for_sensitivity,61->121,121,7,gate2,62094.08415402478,0.0,10355.915845975222,-4.3655745685100555e-11,805.4674519779895,20286.814551026033,71802.02506177526,0.0,0.0,0.0031414873355970485,0.0001288648468005249,0.0006712960694130743,0.0,1.0186055756561634,False,Iteration limit reached,failed
q3-T10,no_wind,0.05,4500.0,range_domain_reduced_control_shooting_final_fuel_optimization,min_m0_minus_mf,s_fixed_0,local_reoptimization,single_start_for_sensitivity,61->121,121,7,gate2,62094.083434912296,0.0,10355.916565087704,0.0007191124386736192,805.4680729193975,20286.05611980978,71806.52092880539,0.0,0.0,0.003137406607493176,0.00012910442757174678,0.000670295796226128,0.0,1.018606360907484,True,Optimization terminated successfully,failed
q3-T10,no_wind,0.1,9000.0,range_domain_reduced_control_shooting_final_fuel_optimization,min_m0_minus_mf,s_fixed_0,local_reoptimization,single_start_for_sensitivity,61->121,121,7,gate2,62094.07479565497,0.0,10355.925204345032,0.009358369767141994,805.4646663384658,20291.292515691082,71797.63046224185,0.0,0.0,0.0031352782243629918,0.00013108237314440885,0.0006701423626509495,0.0,1.0186020528968718,False,Iteration limit reached,failed
