distance_m,height_m,airspeed_mps,mass_kg,time_s,thrust_n,gamma_rad,temperature_k,density_kgm3,sound_speed_mps,pressure_pa,groundspeed_mps,mach,cl,cd,drag_n,dh_dx,dV_dx,dm_dx,dt_dx,scaled_constraint_violation
0.0,9500.0,240.0,72450.0,0.0,72018.16991391499,0.0375012791216218,226.39999999999998,0.43889912259378233,301.6344940486747,28523.228847019436,239.83125826487083,0.7956649678178758,0.5001688639914109,0.03325760016279063,47209.3329868979,0.0375188689404623,-0.00010527699490469656,-0.09038633788156047,0.004169598271863274,0.0
9489.0655,9854.927208340883,239.0066360254781,71610.72728565175,39.64754490189514,70399.97775546115,0.0371401657624213,224.09297314578424,0.4201782257735062,300.0937238898813,27028.337466563742,238.84181306264665,0.7964399685785533,0.5207100236412094,0.0342012517924193,46094.087721550444,0.037157252138104925,-0.00010349943572545441,-0.0865062579906559,0.004186871583233655,0.0
18978.131,10202.70730225552,238.0466260753565,70807.51477183081,79.45632362428017,68430.74769166196,0.0360002042602971,221.8324025353391,0.4024329979461976,298.5762676551449,25625.722447790202,237.8923867703231,0.7972724287326814,0.5419399100795569,0.035216448976166714,45093.39850350797,0.03601576459163704,-9.826525879008488e-05,-0.08278596869298067,0.00420358134859299,0.0
28467.196500000002,10536.06123004758,237.15163227014,70038.84525497424,119.41832261458784,66144.09482659568,0.0341097959805408,219.6656020046907,0.38596760175331624,297.1144821068557,24337.191395599515,237.01368527081212,0.7981826755413748,0.5631889294727044,0.03627317966262748,44211.82835540573,0.0341230308077514,-8.984144298844975e-05,-0.0792256681445082,0.004219165652217081,0.0
37956.262,10848.069482621557,236.35005980490072,69303.4900127048,159.52044179677063,63573.87096777292,0.0315156839746299,217.63754836295988,0.37102824939752344,295.73975309488355,23179.195234172355,236.23269354966885,0.7991825831039746,0.5837029598374126,0.037331911539533025,43445.86005757179,0.03152612231692791,-7.864813650354521e-05,-0.07576435532396246,0.004233114328816414,0.0
47445.3275,11132.342549076277,235.6657342260642,68601.08409136522,199.74511321096807,60731.16991839807,0.0282818343338154,216.64999999999998,0.3564006330737448,295.0680184296495,22164.335293465265,235.57149045733394,0.7986827426444791,0.6050577590058069,0.03847427012799081,42761.35896497439,0.028289377270118005,-6.52312427797789e-05,-0.07228097566033193,0.004244995852675633,0.0
56934.393000000004,11383.177153115976,235.1169145886176,67932.16027743038,240.07114856407233,57674.13887740035,0.024487923965680596,216.64999999999998,0.3425786744959945,295.0680184296495,21304.756224574394,235.04642319251022,0.7968227659504022,0.6263081179887823,0.03965178363963927,42163.879243853065,0.024492819936647366,-5.020567521873954e-05,-0.0687073680147847,0.004254478695814782,0.0
66423.45850000001,11595.695583786255,234.7157059653729,67297.73627287336,280.4747531780674,54471.17283481256,0.0202274491993085,216.64999999999998,0.33128839668726934,295.0680184296495,20602.620819396325,234.66769067205578,0.795463050230007,0.6438608096550529,0.040655053399434704,41663.4111161542,0.020230208335800703,-3.424029800615277e-05,-0.06500948841475783,0.004261345041305594,0.0
75912.524,11765.966375266386,234.4678992721048,66699.13716050627,320.9306275387349,51161.94430558362,0.0156054292804436,216.64999999999998,0.32251165232560475,295.0680184296495,20056.800507184045,234.43934993538144,0.7946232211811425,0.6569405229412669,0.04142068828070553,41236.2597713543,0.015606696197585966,-1.7991791845613277e-05,-0.061156594508176454,0.0042654955333890415,0.0
85401.5895,11891.099918241329,234.37322885475115,66137.73328454689,361.4130701707059,47794.81291050991,0.0107358253386325,216.64999999999998,0.3162101252133487,295.0680184296495,19664.912427265834,234.35972229603743,0.7943023784891506,0.664972085259768,0.04189845433786259,40863.87441507498,0.010736237820707225,-2.0691862850400318e-06,-0.05716988894994325,0.004266944806910228,0.0
