artifact_id,fixed_range_m,q1_constant_speed_full_range_m,range_change_vs_q1_constant_speed_m,strategy,source,fuel_used_kg,terminal_mass_kg,final_time_s,fuel_saving_vs_baseline_kg,fuel_saving_vs_baseline_pct,comparison_status
q4-T03,189781.3095914006,200668.44247343732,-10887.132882036705,constant_speed_baseline,artifacts/q2/data/q2_fuel_summary.csv:standard_isa,10427.25631184539,62022.74368815461,721.7526004740705,0.0,0.0,baseline
q4-T03,189781.3095914006,200668.44247343732,-10887.132882036705,configured_wind_optimal,questions/q4/artifacts/tables/wind_optimal_results.csv,9863.840141086868,62586.15985891313,733.7575702175238,563.4161707585226,5.403302210174697,passed
