artifact_id,framework_id,framework_name,model_change,required_data,validation_plan,implementation_interface,evidence_boundary,status
q4-T05,temperature_realtime_correction,Real-time temperature and density correction,"Replace ISA atmosphere calls with a temperature-offset or measured-profile atmosphere T(h,t), p(h,t), rho(h,t), a(h,t); re-integrate pressure hydrostatically before evaluating drag, Mach, and fuel penalty.",Along-route temperature deviation profile or onboard/forecast temperature field; pressure reference or hydrostatic boundary; timestamped altitude samples.,"Compare corrected atmosphere against q2 hydrostatic temperature scenarios, verify dp/dh=-rho g residual, and rerun q4-T02/T04 under matched temperature offsets.",Extend Q2Parameters with temperature profile provider and pass temperature_offset/profile into q4 _rates.,Framework only; no new numerical fuel-saving claim until temperature scenarios are re-optimized.,framework_only
q4-T05,engine_installation_loss,Engine installation and altitude-dependent thrust loss,"Replace ideal commanded thrust T with effective thrust eta_install(h,M,T) T and add installation fuel-flow multiplier phi_install(h,M); keep thrust bounds on commanded thrust.","Engine deck or empirical installation efficiency table over altitude, Mach, and thrust setting; uncertainty bounds for efficiency multipliers.","Run zero-loss recovery test, monotonic loss sanity checks, and sensitivity over eta_install={0.95,0.98,1.00}; compare terminal constraints and fuel impact.",Add installation_loss_model callable to q4 _rates before drag balance and fuel-flow evaluation.,Framework only; current q4-T02/T04 use ideal installed thrust and must not claim installed-engine accuracy.,framework_only
