strategy,time_s,distance_m,mass_kg,height_m,airspeed_mps,groundspeed_mps,mach,density_kgm3,lift_N,drag_N,thrust_N,fuel_flow_kgs,climb_rate_mps,energy_residual,lift_balance_residual
constant_mach,0.0,0.0,72450.0,9500.0,240.0,267.5,0.7956649678178758,0.3333944288153366,710491.7925,44788.97942073197,48055.224899973044,14.464622694891883,1.2049117991909557,-4.7315078832012626e-17,0.0
constant_mach,0.00037383125971575794,0.09999985915810851,72449.9945926722,9500.000450433696,239.99999844815247,267.49998493514767,0.7956649678178758,0.33339440824381883,710491.7394722288,44788.976077892854,48055.221176396044,14.464620947670543,1.204911740875426,1.8926032999295766e-17,0.0
constant_mach,0.0041121438568733374,1.0999981409959203,72449.94051943015,9500.004954769336,239.99998292968098,267.4998342873374,0.7956649678178758,0.3333942025287706,710491.2091948696,44788.94264952398,48055.18394065397,14.464603475483116,1.2049111577212523,2.838907149630664e-17,0.0
constant_mach,0.04149526982844913,11.099949986028461,72449.3997906021,9500.049998005932,239.99982774532413,267.4983278801402,0.7956649678178758,0.33339214539074125,710485.906456508,44788.60836805604,48054.811586016745,14.464428756194419,1.2049053262912666,-1.8926194313444735e-17,0.0
constant_mach,0.41532652954420707,111.09637208253335,72443.99286152307,9500.500418383499,239.9982759375393,267.48327089859106,0.7956649678178758,0.33337157525603534,710432.8825954553,44785.26577543701,48051.08831796844,14.46268182183133,1.204847023165271,-3.7855321642437295e-17,0.0
constant_mach,4.153639126701786,1110.7519379849407,72389.95945516437,9505.00342486607,239.9827614330395,267.3334097148691,0.7956649678178758,0.33316599834373223,709902.9958909876,44751.86203319509,48013.88344136358,14.4452383005617,1.2042651085627938,4.735581859794983e-17,0.0
constant_mach,9.153639126701787,2446.9219580064814,72317.7914423488,9511.022811042754,239.9620208791883,267.1349816188042,0.7956649678178758,0.3328913917396513,709195.2694481098,44707.247379767374,47964.20069660412,14.421980763767177,1.2034899659185723,7.584779385991691e-17,0.0
constant_mach,14.153639126701787,3782.10558343649,72245.73950843778,9517.03833055707,239.9412918573209,266.93885108185395,0.7956649678178758,0.33261718765610615,708488.6813504213,44662.70448694247,47914.60787702215,14.39880668038575,1.2027184422635524,-5.694472367011172e-17,0.0
constant_mach,19.153639126701787,5116.3142901496785,72173.80323703798,9523.050001482903,239.92057430813705,266.74501334070084,0.7956649678178758,0.3323433846483372,707783.2275144985,44618.233097303695,47865.10465046448,14.37571570124446,1.2019505291173,-5.700361725402198e-17,0.0
constant_mach,24.153639126701787,6449.5595302794245,72101.98221349712,9529.057841851705,239.8998681724606,266.5534636621018,0.7956649678178758,0.33206998127737286,707078.9038739915,44573.83295451076,47815.69068626406,14.352707479095447,1.2011862180497601,-3.804168417185271e-17,0.0
