strategy,time_s,distance_m,mass_kg,height_m,airspeed_mps,groundspeed_mps,mach,density_kgm3,lift_N,drag_N,thrust_N,fuel_flow_kgs,climb_rate_mps,energy_residual,lift_balance_residual
constant_speed,0.0,0.0,72450.0,9500.0,240.0,267.5,0.7956649678178758,0.3333944288153366,710491.7925,44788.97942073197,49206.97701394583,14.81130008119769,1.4923739212248879,7.39321744162554e-17,0.0
constant_speed,0.00037383125971575794,0.09999985884558181,72449.99446307325,9500.000557896023,240.0,267.4999832631287,0.7956649741900911,0.33339440333596426,710491.7382012972,44788.97599777409,49206.97325334641,14.811298949257266,1.4923739212248879,5.5449135049842335e-17,0.0
constant_speed,0.0041121438568733374,1.0999981031806305,72449.93909382896,9500.006136856253,240.0,267.4998158954422,0.7956650379122532,0.3333941485423469,710491.1952144977,44788.941768209654,49206.93564736806,14.811287629857784,1.4923739212248879,3.6966118284245344e-17,0.0
constant_speed,0.04149526982844913,11.099946135874838,72449.38540371346,9500.061926458546,240.0,267.49814232129023,0.7956656751347171,0.3333916006168839,710485.7653693266,44788.59947400416,49206.55958916536,14.81117443633877,1.492373921224888,3.696640079560397e-17,0.0
constant_speed,0.41532652954420707,111.09598681787398,72443.84873528623,9500.619822481485,240.0,267.4814168509527,0.7956720474435608,0.33336612243320085,710431.4691998947,44785.1766758227,49202.799165203556,14.810042548726269,1.492373921224888,-1.8484613013971105e-17,0.0
constant_speed,4.153639126701786,1110.7138498286165,72388.50531721367,9506.19878271087,240.0,267.31518926588683,0.7957357789538214,0.3331114476608476,709888.7356690534,44750.963077297856,49165.210727647034,14.798728429021756,1.492373921224888,-3.6997490229874794e-17,0.0
constant_speed,9.153639126701787,2446.739878088738,72314.54947937217,9513.660652316994,240.0,267.09577883314194,0.795821043910691,0.3327711237917694,709163.4766518851,44705.24318082959,49114.981007664785,14.783609283307099,1.4923739212248879,-7.407065486850086e-17,0.0
constant_speed,14.153639126701787,3781.677206109838,72240.66919863643,9521.122521923118,240.0,266.87970917027826,0.7959063362824567,0.33243114761514253,708438.9585968079,44659.569994170226,49064.802604960205,14.768505584093019,1.492373921224888,5.560980500190475e-17,0.0
constant_speed,19.153639126701787,5115.542537741323,72166.86439781338,9528.584391529243,240.0,266.66698027729564,0.7959916560838126,0.33209151877574666,707715.1807468166,44613.94346959859,49014.67546710487,14.753417315598563,1.4923739212248879,-1.8555558985253626e-17,0.0
constant_speed,24.153639126701787,6448.352576832596,72093.13499978885,9536.046261135369,240.0,266.4575921541941,0.7960770033294639,0.3317522369187241,706992.1423456792,44568.363559442296,48964.59954172398,14.738344462058919,1.492373921224888,-5.572360707236611e-17,0.0
