scenario,time_s,distance_m,mass_kg,height_m,temperature_k,density_kgm3,sound_speed_mps,airspeed_mps,groundspeed_mps,mach,cl,drag_n,thrust_n,fuel_flow_kgs,climb_rate_mps,mass_rate_kgs,fuel_per_meter_kgpm,implicit_denominator
temp_plus_10K,0.0,0.0,72450.0,9499.999999999996,236.4,0.42033316986138913,308.22405486918115,240.0,267.5000000000001,0.7786543464359479,0.5226285835270371,46617.6330889187,51778.210750570746,15.585241435921791,1.743213154424286,-15.585241435921791,0.05826258480718424,0.900333024512726
temp_plus_10K,0.00037383125971575767,0.0999998583197805,72449.99417374982,9500.000651664115,236.39999576418325,0.42033313605923306,308.22405210780084,240.0,267.4999804500893,0.7786543534119148,0.522628583527037,46617.6293400437,51778.20630189421,15.585240096870155,1.7432130582202867,-15.585240096870155,0.058262584059433534,0.9003330294649137
temp_plus_10K,0.004112143856873334,1.0999980395592233,72449.93591127546,9500.007168304448,236.39995340602107,0.42033279803783136,308.22402449399965,240.0,267.4997849524081,0.7786544231715857,0.5226285835270374,46617.59185131144,51778.16181701387,15.585226706921171,1.7432120968095115,-15.585226706921171,0.0582625765837307,0.9003330789544037
temp_plus_10K,0.041495269828449095,11.099939658092143,72449.35328928495,9500.072334620352,236.3995298249677,0.42032941783978994,308.22374835622213,240.0,267.49783011835837,0.77865512076839,0.5226285835270374,46617.216965760264,51777.716972593735,15.58509280875071,1.7432024834327633,-15.58509280875071,0.0582625017999393,0.9003335738119749
temp_plus_10K,0.4153265295442067,111.0953384283412,72443.5273358483,9500.723990027891,236.3952940648187,0.4202956174053458,308.2209869976876,240.0,267.4782960240101,0.7786620967565735,0.5226285835270371,46613.46828170638,51773.434380544684,15.583803748543946,1.7431623057254968,-15.583803748543946,0.05826193743639324,0.9003356420029708
temp_plus_10K,4.1536391267017825,1110.6495538443705,72385.29423252997,9507.239792232249,236.35294135049037,0.4199577664059165,308.1933752378879,240.0,267.2843786707795,0.7787318589010848,0.522628583527037,46575.9984481091,51730.73538841503,15.57095135191292,1.7427967005941307,-15.57095135191292,0.058256121922830466,0.9003544623597152
temp_plus_10K,9.153639126701783,2446.4312176537587,72307.48241644294,9515.952553531828,236.2963084020431,0.4195063255873031,308.15644964454185,240.0,267.02905791297076,0.7788251723332085,0.5226285835270371,46525.93077809768,51673.68219811142,15.553778341631535,1.742307846859666,-15.553778341631535,0.058247512323923833,0.9003796284484274
temp_plus_10K,14.153639126701783,3780.9478403601884,72229.7564165456,9524.662870973985,236.23969133866908,0.4190553826484835,308.1195299851519,240.0,266.7783615869208,0.7789184931301351,0.5226285835270368,46475.91832613519,51616.6939277973,15.536624872266984,1.741819157655221,-15.536624872266984,0.05823794995908951,0.9004047874733482
temp_plus_10K,19.153639126701783,5114.222534484659,72152.11613519101,9533.370745381326,236.18309015502138,0.41860493702293883,308.0826162583641,240.0,266.5322858379794,0.7790118212925435,0.522628583527037,46425.961029391096,51559.770500745384,15.519490920724358,1.741330632899229,-15.519490920724358,0.05822743339303518,0.9004299394373745
temp_plus_10K,24.153639126701783,6446.278393281929,72074.56147484733,9542.076177576095,236.12650484575536,0.4181549881448185,308.0457084628249,240.0,266.29082681429963,0.7791051568211128,0.5226285835270378,46376.058825109,51502.91184041325,15.502376463964387,1.7408422725407693,-15.502376463964387,0.05821596128346964,0.9004550843418271
temp_plus_10K,29.153639126701783,7777.138490754529,71997.0923380982,9550.779168380152,236.069935405529,0.4177055354489434,308.0088065971815,240.0,266.0539806668368,0.7791984997165213,0.522628583527037,46326.211650606776,51446.117870534545,15.485281479030895,1.7403540765906853,-15.485281479030895,0.05820353238173184,0.900480222184847
temp_plus_10K,34.15363912670178,9106.82588166676,71919.7086276424,9559.479718615017,236.01338182900236,0.4172565783707991,307.97191066008145,240.0,265.8217435493451,0.7792918499794474,0.5226285835270374,46276.419443276376,51389.3885145658,15.468205942884303,1.7398660449337606,-15.468205942884303,0.05819014553266935,0.900505352971067
temp_plus_10K,39.15363912670178,10435.363601558694,71842.41024629344,9568.177829101853,235.95684411083795,0.4168081163465404,307.935020650173,240.0,265.5941116183757,0.7793852076105693,0.5226285835270372,46226.68214058358,51332.72369587345,15.451149832457904,1.7393781773918418,-15.451149832457904,0.05817579967533017,0.9005304767083626
temp_plus_10K,44.15363912670178,11762.774666760142,71765.19709697993,9576.873500661433,235.90032224570066,0.41636014881298733,307.8981365661048,240.0,265.3710810332753,0.7794785726105643,0.5226285835270371,46176.999680068235,51276.12333846747,15.434113124878705,1.7388904739736053,-15.434113124878705,0.0581604938442535,0.9005555933949894
temp_plus_10K,49.15363912670178,13089.082074404634,71688.06908274481,9585.566734114233,235.84381622825748,0.41591267520762415,307.86125840652613,240.0,265.1526479561823,0.7795719449801106,0.5226285835270371,46127.37199934374,51219.58736635618,15.417095797273207,1.7384029346555097,-15.417095797273207,0.058144227169177484,0.9005807030308627
temp_plus_10K,54.15363912670178,14414.30880244337,71611.02610674564,9594.25753028033,235.78732605317782,0.4154656949686,307.82438617008654,240.0,264.9388085520265,0.7796653247198857,0.5226285835270373,46077.799036097254,51163.11570345654,15.400097826740414,1.737915559350883,-15.400097826740414,0.058126998875350756,0.9006058056191499
temp_plus_10K,59.15363912670178,15738.477809659169,71534.0680722546,9602.945889979437,235.73085171513364,0.41501920753472954,307.7875198554366,240.0,264.7295589885266,0.779758711830566,0.5226285835270371,46028.28072808969,51106.7082733237,15.383119190270431,1.7374283478170782,-15.383119190270431,0.05810880828361572,0.900630901171054
