scenario,time_s,distance_m,mass_kg,height_m,temperature_k,density_kgm3,sound_speed_mps,pressure_pa,airspeed_mps,groundspeed_mps,mach,cl,drag_n,thrust_n,fuel_flow_kgs,climb_rate_mps,mass_rate_kgs,fuel_per_meter_kgpm,implicit_denominator,cumulative_fuel_time_kg,cumulative_fuel_path_kg,path_integral_mass_kg
temp_minus_10K,0.0,0.0,72450.0,9499.999999999996,216.4,0.4360040834580473,294.8977246436466,27083.53597469527,240.0,267.5000000000001,0.8138414777191488,0.5038442012555712,47132.09326751988,52149.477573455035,15.696992749609961,1.6948432707256615,-15.696992749609961,0.05868034672751385,0.9037884071059402,0.0,0.0,0.0
temp_minus_10K,0.00037383125971575767,0.0999998584211751,72449.99413197368,9500.00063358204,216.39999588171673,0.4360040481442662,294.8977218375644,27083.53326566365,240.0,267.49998099255083,0.8138414854632103,0.5038442012555714,47132.08945009595,52149.47307190834,15.696991394644407,1.6948431769053514,-15.696991394644407,0.05868034583180597,0.9037884119194459,0.005868026320071567,0.005868026320071521,0.005868026317330077
temp_minus_10K,0.004112143856873334,1.0999980518278643,72449.93545173835,9500.00696940161,216.39995469888953,0.4360036950066233,294.8976937767448,27083.506175363156,240.0,267.4997909194089,0.8138415629038265,0.5038442012555714,47132.05127587476,52149.42805752231,15.696977845314212,1.6948422390597795,-15.696977845314212,0.05868033687564012,0.903788460036163,0.06454826166232895,0.0645482616622824,0.06454826165281702
temp_minus_10K,0.041495269828449095,11.099940907256164,72449.34865217075,9500.070327512454,216.39954287116902,0.43600016364695937,294.8974131687775,27083.23527392788,240.0,267.49789032300515,0.8138423373101673,0.5038442012555716,47131.66953547518,52148.977915364456,15.696842352524698,1.6948328604182124,-15.696842352524698,0.058680247285579246,0.9037889412131499,0.6513478292547347,0.6513478292082211,0.6513478292472428
temp_minus_10K,0.4153265295442067,111.09546346182394,72443.48092643803,9500.70390106599,216.39542464307104,0.43596485167483956,294.8946071078801,27080.5264125503,240.0,267.47889783232165,0.8138500814028171,0.5038442012555715,47127.85230709005,52144.63847513181,15.695536181014672,1.6947937212868978,-15.695536181014672,0.05867953064040947,0.9037909492759394,6.5190740355882,6.519073989506856,6.51907356196898
temp_minus_10K,2.4153265295442066,645.9519482388752,72412.09682428504,9504.093297592746,216.37339356564712,0.4357759821552486,294.8795952117179,27066.038679191533,240.0,267.3777037247731,0.8138915133401637,0.5038442012555714,47107.43548956358,52121.483400999976,15.688566503700988,1.694602809918938,-15.688566503700988,0.05867567222377716,0.9038007442562503,37.90317672030386,37.90316962662516,37.90317571496416
temp_minus_10K,4.415326529544206,1180.6067454029376,72380.72665829686,9507.482312322398,216.3513649699044,0.43558719650349437,294.86458424242045,27051.558853459555,240.0,267.27721018025875,0.8139329469377238,0.5038442012555713,47087.027738160235,52098.33892332593,15.681600015921102,1.6944119241849032,-15.681600015921102,0.0586716690336038,0.9038105381336451,69.27334323992594,69.27332909547867,69.27334170314134
temp_minus_10K,6.415326529544206,1715.0612558456587,72349.3704220961,9510.8709453062,216.3293388555097,0.43539849468119746,294.8495741999023,27037.086930935053,240.0,267.1774169643695,0.8139743821955959,0.5038442012555714,47066.629048731214,52075.20503708353,15.674636716162137,1.6942210640810162,-15.674636716162137,0.058667520983828096,0.9038203309082388,100.62957997200917,100.62955877373467,100.62957790390647
temp_minus_10K,8.415326529544206,2249.316879989936,72318.02810930798,9514.259196595445,216.3073152221296,0.4352098766499947,294.83456508407767,27022.62290720109,240.0,267.0783238427631,0.8140158191138799,0.5038442012555714,47046.23941712943,52052.08173724876,15.667676602911873,1.694030229603473,-15.667676602911873,0.05866322799051224,0.903830122580148,131.97189329108318,131.97186503603552,131.97189069201704
temp_minus_10K,10.415326529544206,2783.3750177900492,72286.69971356106,9517.647066241392,216.28529406943093,0.43502134237154283,294.819556894861,27008.166777843388,240.0,266.97993058116606,0.8140572576926746,0.5038442012555713,47025.85883920996,52028.969018893375,15.6607196746869,1.6938394207799736,-15.6607196746869,0.058658789971951834,0.903839913147873,163.30028956868196,163.30025425402803,163.30028643894184
