scenario,time_s,distance_m,mass_kg,reference_height_m,height_m,temperature_k,density_kgm3,sound_speed_mps,pressure_pa,atmosphere_layer,airspeed_mps,groundspeed_mps,mach,cl,cd,drag_n,thrust_n,fuel_flow_kgs,climb_rate_mps,dh_dx,mass_rate_kgs,fuel_per_meter_kgpm,implicit_denominator,cumulative_fuel_time_kg,cumulative_fuel_path_kg,path_integral_mass_kg
temp_minus_2K,0.0,0.0,72450.0,9500.0,9500.0,224.39999999999998,0.43839209162408177,300.29923076824554,28238.596957715436,troposphere,240.0,267.5,0.7992028463942981,0.5010996625424068,0.03329953923100513,47214.259130854436,51632.2568744465,15.541309319208395,1.4923739720217746,0.005578968119707569,-15.541309319208395,0.05809835259517157,1.0,0.0,0.0,0.0
temp_minus_2K,0.00037383125971575783,0.09999985884558174,72449.99419017299,9500.000557896024,9500.000557896024,224.39999637367583,0.43839206147311893,300.2992283418143,28238.59455923248,troposphere,240.0,267.4999832631286,0.799202852851893,0.5010996568225532,0.03329953897304562,47214.25551788308,51632.252766452264,15.541308082702129,1.4923739244806524,0.005578968291047204,-15.541308082702129,0.058098351607800996,1.0,0.005809827009309574,0.005809827009309536,0.005809827009215951
temp_minus_2K,0.004112143856873337,1.0999981031805974,72449.93609192754,9500.006136856253,9500.006136856253,224.39996011043434,0.438391759963577,300.2992040775004,28238.570574411955,troposphere,240.0,267.4998158954422,0.7992029174278512,0.5010995996240464,0.03329953639345208,47214.219388183854,51632.213083332506,15.541296138083082,1.4923739209026512,0.005578971768287033,-15.541296138083082,0.05809834330561826,1.0,0.06390807246482191,0.06390807246478489,0.06390807246498298
temp_minus_2K,0.04149526982844912,11.099946135842183,72449.35511192831,9500.061926458546,9500.061926458546,224.39959747801942,0.43838874487688345,300.2989614342541,28238.330727114033,troposphere,240.0,267.49814232129023,0.7992035631882941,0.5010990276416578,0.03329951059765367,47213.858092602284,51631.81635611693,15.541176723191192,1.4923739197200279,0.005579006668119391,-15.541176723191192,0.058098260377916155,1.0,0.6448880717053729,0.6448880716683438,0.6448880716925487
temp_minus_2K,0.415326529544207,111.09598678526287,72443.54555748045,9500.619822481302,9500.619822481302,224.39597115387153,0.43835859488248213,300.2965349910091,28235.932344861038,troposphere,240.0,267.4814168509582,0.7992100208788144,0.5010933080860442,0.033299252653387686,47210.245277875816,51627.84885116622,15.53998250420103,1.492373776527277,0.0055793549850935405,-15.53998250420103,0.05809742855093359,1.0,6.4544425254064155,6.454442488376693,6.454442519549048
temp_minus_2K,2.415326529544207,645.9695494014735,72412.4719824411,9503.605001562233,9503.605001562233,224.37656748984546,0.4381972958367999,300.28355129301406,28223.1019306127,troposphere,240.0,267.3922398342209,0.7992445772223138,0.5010627433608247,0.033297874275292405,47190.92024357608,51606.622691867895,15.533593430252234,1.4923716608270499,0.005581207823204957,-15.533593430252234,0.05809291039965417,1.0,37.52801845985968,37.52801275641966,37.52801755889959
temp_minus_2K,4.415326529544207,1180.6653207837549,72381.4111803061,9506.589470275321,9506.589470275321,224.35716844321038,0.43803608056850346,300.27057012346876,28210.27928916899,troposphere,240.0,267.30361852529563,0.7992791298238585,0.5010321487154058,0.03329649463208694,47171.60387701244,51585.411854479564,15.527208968198346,1.4923715298280853,0.005583057715647266,-15.527208968198346,0.05808828572490487,1.0,68.58882085831026,68.58880989738827,68.58881969390495
temp_minus_2K,6.415326529544207,1715.1843509190264,72350.36314737215,9509.574824767295,9509.574824767295,224.33776363901256,0.4378748628519561,300.2575845396915,28197.457561841136,troposphere,240.0,267.2155055750609,0.7993136971641562,0.5010016227650969,0.033295118170596716,47152.29319144774,51564.202194417376,15.520824860519626,1.4923696119166756,0.005584891523061219,-15.520824860519626,0.05808354880873417,1.0,99.63685468702823,99.63683805936627,99.63685262785293
temp_minus_2K,8.415326529544206,2249.527718706572,72319.32787728774,9512.559198163464,9512.559198163464,224.31836521193748,0.43771374349272585,300.2446026620983,28184.644765070123,troposphere,240.0,267.12795605885134,0.7993482576274689,0.500971050167527,0.03329373968976797,47132.9916736948,51543.010356362516,15.514446117265114,1.4923703576058707,0.005586724727819519,-15.514446117265114,0.05807870634793127,1.0,130.67212566481297,130.67210337447068,130.67212271226163
temp_minus_2K,10.415326529544206,2783.696522612445,72288.30536209635,9515.544131407418,9515.544131407418,224.29896314585176,0.43755263928040156,300.23161778770645,28171.83428080288,troposphere,240.0,267.0409246584138,0.7993828290586763,0.5009405261016615,0.03329236348109542,47113.69643898381,51521.82150530929,15.508068273098095,1.4923697247405985,0.005588543129295884,-15.508068273098095,0.05807375140321764,1.0,161.69464005517617,161.6946130883,161.69463790365262
temp_minus_2K,12.415326529544206,3317.6917834275814,72257.29560153378,9518.528992885818,9518.528992885818,224.27956154624218,0.4373915843069896,300.218632663911,28159.028819572934,troposphere,240.0,266.95442992074635,0.7994174041445168,0.5009100115795843,0.03329098778652967,47094.408667294614,51500.64180401298,15.501693183007903,1.4923693991924938,0.0055903526292316996,-15.501693183007903,0.0580686868077449,1.0,192.70440151128216,192.7043688803844,192.70439846621593
temp_minus_2K,14.415326529544206,3851.5146156355017,72226.29858595022,9521.513204273992,9521.513204273992,224.26016417221905,0.43723060975200584,300.2056498067444,28146.23085943413,troposphere,240.0,266.86848841052426,0.7994519761853202,0.500879470836824,0.03328961099375996,47075.12943417625,51479.476726646615,15.495322494720629,1.492370871988544,0.005592158448069849,-15.495322494720629,0.058063515055715935,1.0,223.7014171890107,223.7013793350317,223.70141404977767
