scenario,time_s,distance_m,mass_kg,height_m,temperature_k,density_kgm3,sound_speed_mps,pressure_pa,airspeed_mps,groundspeed_mps,mach,cl,drag_n,thrust_n,fuel_flow_kgs,climb_rate_mps,mass_rate_kgs,fuel_per_meter_kgpm,implicit_denominator,cumulative_fuel_time_kg,cumulative_fuel_path_kg,path_integral_mass_kg
standard_isa,0.0,0.0,72450.0,9499.999999999996,226.4,0.43889912259378266,301.63449404867475,28523.22884701946,240.0,267.5000000000001,0.7956649678178757,0.5005207754252166,47231.82779286059,52518.18194124021,15.8079727643133,1.7856997209592809,-15.8079727643133,0.0590952252871525,0.89934240004168,0.0,0.0,0.0
standard_isa,0.00037383125971575767,0.09999985823071868,72449.99409048588,9500.000667546843,226.3999956609455,0.4388990867941889,301.63449115819657,28523.225973811117,240.0,267.4999799736081,0.7956649754425085,0.5005207754252167,47231.82394031188,52518.177361477276,15.807971385804658,1.7856996209643312,-15.807971385804658,0.059095224558014144,0.8993424051109016,0.005909514114370818,0.005909514114370765,0.005909514118684456
standard_isa,0.004112143856873334,1.099998028782842,72449.93499537309,9500.007343014368,226.3999522704066,0.43889872879842395,301.63446225341744,28523.1972417446,240.0,267.4997797111866,0.7956650516888372,0.5005207754252169,47231.7854148434,52518.131563282914,15.807957600548153,1.7856986208160868,-15.807957600548153,0.05909521726565773,0.8993424558131964,0.06500462691463185,0.06500462691458028,0.0650046269147424
standard_isa,0.041495269828449095,11.09993856086958,72449.3440470794,9500.074097598532,226.39951836560954,0.43889514885794645,301.63417320586785,28522.909922760457,240.0,267.49777723675766,0.795665814152291,0.5005207754252168,47231.40016200638,52517.67358682253,15.807819749633579,1.7856886204020856,-15.807819749633579,0.05909514431457257,0.8993429627822936,0.6559529206001995,0.6559529205486464,0.6559529205987928
standard_isa,0.4153265295442067,111.09522860631424,72443.43483833937,9500.74163537622,226.39517937005456,0.4388593511142444,301.63128275005533,28520.036896517664,240.0,267.4777674394043,0.7956734388152781,0.5005207754252166,47227.547812391465,52513.26675295162,15.806493292638434,1.78564696043303,-15.806493292638434,0.05909460604504003,0.8993450747326996,6.565162155420626,6.565162104352726,6.565161660633748
standard_isa,2.4153265295442066,645.9440427098477,72411.82892971837,9504.312725723456,226.37196728279753,0.4386678838186951,301.6158193661895,28504.671204768438,240.0,267.3711762163913,0.7957142317811182,0.5005207754252168,47206.94319081486,52489.75373293436,15.799415873613238,1.785443391615521,-15.799415873613238,0.05909169453937813,0.8993553947881293,38.171071321672294,38.17106345978263,38.17107028163446
standard_isa,4.415326529544206,1180.5804515931436,72380.2371726644,9507.883408960915,226.34875784175404,0.4384765022527576,301.6003569524839,28489.313967733797,240.0,267.2653621752779,0.795755026370248,0.5005207754252168,47186.347794971574,52466.25157911053,15.792341725312266,1.7852398506425564,-15.792341725312266,0.05908862112463094,0.8993657136687624,69.7628289205978,69.7628132434327,69.76282733559492
standard_isa,6.415326529544206,1715.0060093566956,72348.65956063764,9511.453685144344,226.32555104656174,0.4382852063768133,301.58489550884633,28473.965180644682,240.0,267.1603250527712,0.7957958225827664,0.5005207754252168,47165.761620598096,52442.760286442994,15.785270846219337,1.7850363375697116,-15.785270846219337,0.05908538568779376,0.8993760313716924,101.3404414921294,101.34041799537464,101.34043936236412
standard_isa,8.415326529544206,2249.222269574488,72317.09608710116,9515.023554329491,226.3023468968583,0.4380939961512625,301.5694350351846,28458.624838734795,240.0,267.05606458565603,0.7958366204187729,0.5005207754252166,47145.184663432905,52419.27984980214,15.77820323479044,1.7848328524205168,-15.77820323479044,0.05908198811837771,0.8993863478956371,132.9039155731392,132.90388425262006,132.903912898837
standard_isa,10.415326529544206,2783.230785294154,72285.54674552132,9518.593016572093,226.27914539228138,0.43790287153652385,301.55397553140654,28443.292937240545,240.0,266.95258051079475,0.7958774198783668,0.5005207754252168,47124.61691921651,52395.810263589556,15.771138889340452,1.7846293950589482,-15.771138889340452,0.05907842830799201,0.8993966632474036,164.4532576972701,164.45321854895172,164.453254478678
standard_isa,12.415326529544206,3317.0331090371287,72254.01152936756,9522.162071927865,226.25594653246884,0.4377118324930359,301.53851699741983,28427.969471401197,240.0,266.8498725651281,0.7959182209616479,0.500520775425217,47104.05838369152,52372.35152268146,15.764077808327118,1.7844259655086139,-15.764077808327118,0.05907470615141363,0.8994069774257063,195.98847439493767,195.98842741492516,195.98847063243738
standard_isa,14.415326529544206,3850.6307927988073,72222.49043211267,9525.730720452513,226.23275031705865,0.43752087898125736,301.5230594331325,28412.654436458834,240.0,266.74794048567475,0.7959590236687147,0.5005207754252168,47083.5090526027,52348.90362223859,15.757019990293813,1.7842225638886555,-15.757019990293813,0.05907082154638048,0.8994172904244153,227.5095721935586,227.50951737809726,227.5095678873331
standard_isa,16.415326529544206,4384.025388048699,72190.98344723218,9529.298962201756,226.20955674568856,0.43733001096166274,301.50760283845227,28397.347827658094,240.0,266.64678400953034,0.7959998279996673,0.5005207754252169,47062.96892169659,52325.46655685887,15.749965433614516,1.7840191901268423,-15.749965433614516,0.05906677439264218,0.8994276022471039,259.0165576174669,259.0164949629424,259.0165527678182
standard_isa,18.415326529544206,4917.218445730583,72159.49056820504,9532.866797231276,226.1863658179967,0.4371392283947484,301.492147213287,28382.049640246576,240.0,266.546402873869,0.7960406339546047,0.5005207754252167,47042.437986721976,52302.040321237546,15.742914136692498,1.783815844182892,-15.742914136692498,0.059062564592710406,0.8994379128957255,290.5094371877739,290.50936669071234,290.50943179495516
standard_isa,20.415326529544206,5450.211516262663,72128.01178851325,9536.43422559676,226.16317753362102,0.43694853124102745,301.4766925575446,28366.75986947449,240.0,266.44679681594226,0.7960814415336264,0.5005207754252171,47021.916243429594,52278.62491035412,15.735866098016587,1.7836125261120352,-15.735866098016587,0.059058192052076734,0.8994482223673905,321.988217422483,321.9881390795512,321.9882114867505
standard_isa,22.415326529544206,5983.006149537727,72096.54710164199,9540.001247353866,226.13999189219984,0.43675791946103476,301.46123887113305,28351.478510594992,240.0,266.34796557308,0.7961222507368314,0.5005207754252169,47001.40368757233,52255.22031881528,15.728821315963396,1.7834092358421418,-15.728821315963396,0.059053656678476694,0.8994585306656677,353.45290483646295,353.4528186444687,353.4528983580094
standard_isa,24.415326529544206,6515.603894923295,72065.0965010794,9543.56786255828,226.11680889337117,0.4365673930153211,301.44578615396017,28336.20555886377,240.0,266.2499088826885,0.7961630615643193,0.5005207754252167,46980.90031490491,52231.82654132434,15.721779788938623,1.7832059733329706,-15.721779788938623,0.05904895838242613,0.8994688377925086,384.903505941365,384.903411897257,384.9034989205975
standard_isa,26.415326529544206,7048.006301261783,72033.65998031701,9547.134071265638,226.09362853677334,0.43637695186445824,301.4303344059338,28320.941009539438,240.0,266.1526264822531,0.7962038740161895,0.5005207754252167,46960.40612118434,52208.44357314909,15.714741515517872,1.7830027387350136,-15.714741515517872,0.05904409707775596,0.8994791437401932,416.3400272458215,416.3399253466897,416.3400196829898
standard_isa,28.415326529544206,7580.214916870651,72002.23753284925,9550.699873531586,226.07045082204468,0.436186595969036,301.4148836269621,28305.68485788328,240.0,266.05611810933596,0.7962446880925411,0.5005207754252166,46939.92110216947,52185.071408997246,15.707706494108166,1.7827995320078598,-15.707706494108166,0.05903907268034735,0.8994894485106817,447.7624752554475,447.76236549852325,447.76246715075104
standard_isa,30.415326529544206,8112.231289542564,71970.82915217378,9554.26526941176,226.04727574882355,0.4359963252896632,301.3994338169528,28290.43709915935,240.0,265.9603835015771,0.7962855037934737,0.5005207754252167,46919.44525362128,52161.71004329942,15.700674723033123,1.7825963530158968,-15.700674723033123,0.05903388510845647,0.899499752110762,479.1708564725888,479.1707388552449,479.1708478262153
standard_isa,32.4153265295442,8644.05696654554,71939.43483179134,9557.830258961782,226.0241033167484,0.4358061397869678,301.38398497581403,28275.197728634463,240.0,265.86542239669416,0.7963263211190864,0.5005207754252167,46898.97857130275,52138.35947104987,15.69364620078601,1.7823932018141455,-15.69364620078601,0.05902853428367129,0.8995100545375556,510.5651773964079,510.5650519161587,510.5651682086609
standard_isa,34.4153265295442,9175.693494623118,71908.05456520585,9561.39484223726,226.0009335254578,0.43561603942159677,301.36853710345366,28259.966741578184,240.0,265.77123453248237,0.7963671400694788,0.5005207754252167,46878.52105097893,52115.01968715157,15.68662092583262,1.7821900784257774,-15.68662092583262,0.059023020130176705,0.8995203557897984,541.9454445230265,541.9453111775284,541.9454347941501
standard_isa,36.4153265295442,9707.142419994496,71876.68834592415,9564.959019293809,225.97776637459023,0.4354260241542148,301.35309019977973,28244.744133262746,240.0,265.67781964681416,0.7964079606447501,0.5005207754252167,46858.0726884168,52091.69068660275,15.679598896667425,1.781986982905595,-15.679598896667425,0.05901734257497113,0.8995306558646222,573.3116643455265,573.3115231325777,573.3116540758492
standard_isa,38.4153265295442,10238.405288354701,71845.33616745642,9568.52279018702,225.95460186378435,0.4352360939455066,301.3376442647002,28229.529898963217,240.0,265.58517747763983,0.7964487828449998,0.500520775425217,46837.63347938548,52068.37246384542,15.672580111617469,1.7817839151181234,-15.672580111617469,0.059011501547133506,0.899540954768809,604.6638433538114,604.6636942713521,604.6638325435779
standard_isa,40.4153265295442,10769.483644874736,71813.9980233159,9572.086154972469,225.93143999267892,0.4350462487561762,301.32219929812317,28214.324033957426,240.0,265.4933077629874,0.796489606670327,0.5005207754252169,46817.20341965612,52045.065013976244,15.665564569206847,1.781580875149852,-15.665564569206847,0.059005496979200295,0.8995512524978838,636.0019880346358,636.0018310807485,636.0019766840996
standard_isa,42.4153265295442,11300.379034201735,71782.67390701885,9575.64911370575,225.90828076091262,0.4348564885469452,301.30675529995665,28199.12653352585,240.0,265.4022102409615,0.7965304321208312,0.5005207754252167,46796.7825050018,52021.76833172179,15.658552267848256,1.7813778629604244,-15.658552267848256,0.0589993288060099,0.8995615490538044,667.3261048716909,667.3259400446004,667.3260929811513
standard_isa,44.4153265295442,11831.093000459121,71751.36381208479,9579.211666442407,225.88512416812432,0.4346668132785546,301.2913122701087,28183.937392951768,240.0,265.3118846497453,0.7965712591966116,0.5005207754252169,46776.37073119774,51998.48241181172,15.651543205955322,1.781174878509536,-15.651543205955322,0.05899299696512991,0.8995718444385264,698.6362003454944,698.636027643568,698.63618791521
standard_isa,46.4153265295442,12361.627087246761,71720.0677320363,9582.773813237996,225.861970213953,0.4344772229117647,301.2758702084873,28168.75660752121,240.0,265.2223307275989,0.7966120878977679,0.5005207754252171,46755.96809402116,51975.20724925663,15.644537382026241,1.7809719218518276,-15.644537382026241,0.05898650139717771,0.89958213864919,729.932280933476,729.9321003552234,729.9322679636971
standard_isa,48.4153265295442,12891.98283764112,71688.78566039911,9586.335554148052,225.83881889803763,0.4342877174073551,301.26042911500076,28153.584172522984,240.0,265.13354821286,0.7966529182243989,0.5005207754252171,46735.57458925138,51951.942838976516,15.637534794531929,1.7807689930101938,-15.637534794531929,0.058979842045403776,0.8995924316845452,761.2143531100342,761.2141646541079,761.2143396008905
standard_isa,50.4153265295442,13422.161794195414,71657.51759070181,9589.896889228126,225.81567022001715,0.43409829672612205,301.244988989557,28138.420083248468,240.0,265.045536843943,0.7966937501766043,0.5005207754252169,46715.19021266949,51928.68917552316,15.63053544183247,1.7805660918810302,-15.63053544183247,0.05897301885538114,0.8996027235497583,792.4824233463986,792.4822270115937,792.4824092981871
standard_isa,52.4153265295442,13952.165498939767,71626.26351647629,9593.457818533749,225.79252417953063,0.43390896082888186,301.2295498320641,28123.264334991865,240.0,264.9582963593401,0.7967345837544834,0.5005207754252168,46694.81496005879,51905.44625391439,15.623539322428229,1.7803632185188518,-15.623539322428229,0.0589660317759568,0.8996130142419757,823.7364981106593,823.7362938959142,823.7364835237095
standard_isa,54.4153265295442,14481.995493381362,71595.02343125752,9597.018342120424,225.76938077621722,0.43371970967646944,301.2141116424302,28108.116923050104,240.0,264.87182649762116,0.7967754189581356,0.500520775425217,46674.448827204586,51882.214068985166,15.616546434764533,1.7801603729148936,-15.616546434764533,0.058958880758519586,0.8996233037615534,854.9765838678521,854.9763717722478,854.9765687424806
standard_isa,56.4153265295442,15011.653318504603,71563.79732858368,9600.578460043656,225.74624000971622,0.43353054322973983,301.1986744205636,28092.97784272294,240.0,264.7861269974329,0.7968162557876602,0.5005207754252167,46654.091809894264,51858.9926156654,15.609556777315282,1.779957555091941,-15.609556777315282,0.058951565757320114,0.8996335921072471,886.2026870799319,886.2024671026927,886.2026714163221
standard_isa,58.4153265295442,15541.140514771261,71532.58520199577,9604.138172358958,225.72310187966676,0.43334146144956426,301.1832381663722,28077.84708931265,240.0,264.7011975974992,0.7968570942431569,0.5005207754252167,46633.74390391706,51835.78188861037,15.602570348471717,1.7797547649780618,-15.602570348471717,0.058944086729055004,0.8996438792826171,917.4148142057189,917.4145863462122,917.4147980042326
standard_isa,60.4153265295442,16070.458622120635,71501.38704503835,9607.69747912178,225.69996638570842,0.4331524642968362,301.16780287976445,28062.72465812452,240.0,264.6170380366222,0.7968979343247241,0.5005207754252167,46613.40510506451,51812.58188293959,15.595587146764812,1.779552002659101,-15.595587146764812,0.0589364436337105,0.8996541652832202,948.6129717009554,948.6127359586919,948.6129549616453
