scenario,time_s,distance_m,mass_kg,reference_height_m,height_m,temperature_k,density_kgm3,sound_speed_mps,pressure_pa,atmosphere_layer,airspeed_mps,groundspeed_mps,mach,cl,cd,drag_n,thrust_n,fuel_flow_kgs,climb_rate_mps,dh_dx,mass_rate_kgs,fuel_per_meter_kgpm,implicit_denominator,cumulative_fuel_time_kg,cumulative_fuel_path_kg,path_integral_mass_kg
standard_isa,276.4153265295442,72701.08824277835,68272.3696693373,9912.515153770944,9912.515153770944,223.71865150048885,0.41719927140879587,299.84298304029306,26791.885925603696,troposphere,240.0,260.22960794959164,0.8004189311568738,0.4961921249439705,0.033079298118538575,44634.643602745506,48797.87403731935,14.688160085233122,1.4923683802601966,0.005734813928433844,-14.688160085233122,0.0564430780992389,1.0,4177.630383135696,4177.62963966526,4177.630330662694
standard_isa,278.4153265295442,73221.53196984195,68242.99939638775,9915.499832551313,9915.499832551313,223.69925108841645,0.41704531927629834,299.82998188123537,26779.676881194355,troposphere,240.0,260.2142083489657,0.8004536387393892,0.49616175707910615,0.03307794201345217,44616.34367201496,48777.78635560953,14.682113693038467,1.4923695422675847,0.005735157783030092,-14.682113693038467,0.056423182216663245,1.0,4207.000656913968,4206.999908254529,4207.00060361225
standard_isa,280.4153265295442,73741.94543224732,68213.64121385152,9918.484607947172,9918.484607947172,223.67985004834338,0.4168914056280584,299.8169797375188,26767.471947287773,troposphere,240.0,260.1993427742458,0.8004883519609635,0.49613140892228424,0.033076586871364486,44598.05050713429,48757.70125724017,14.676068078429289,1.492368940192842,0.005735483127210092,-14.676068078429289,0.05640317120694091,1.0,4236.358838685435,4236.358084872404,4236.358786148485
standard_isa,282.4153265295442,74262.32969757837,68184.29512162156,9921.469373987486,9921.469373987486,223.66044906908132,0.4167375359220054,299.80397707067146,26755.2715561315,troposphere,240.0,260.1850117766575,0.8005230695903206,0.49610107400563164,0.03307523240332935,44579.76430056167,48737.62451505747,14.670024979032295,1.4923685747122528,0.0057357976330831085,-14.670024979032295,0.05638305173253033,1.0,4265.704931742897,4265.704172754315,4265.704878378441
standard_isa,284.4153265295442,74782.68583615648,68154.96111077086,9924.454029732247,9924.454029732247,223.64104880674037,0.4165837153506505,299.7909743203834,26743.076118780496,troposphere,240.0,260.1712158087109,0.8005577904540735,0.4960707461051653,0.03307387833136009,44561.48523161,48717.56137569018,14.663985974082742,1.4923702659067368,0.005736108282647193,-14.663985974082742,0.05636282987148101,1.0,4295.038942696013,4295.038178550339,4295.038889229138
standard_isa,286.4153265295442,75303.01491629067,68125.63917945145,9927.438869260022,9927.438869260022,223.62164734980985,0.41642992875113327,299.7779702053973,26730.884432511164,troposphere,240.0,260.1579535308279,0.800592517974421,0.4960404432875419,0.033072525461960545,44543.21276338219,48697.495586642915,14.657946171579514,1.4923683708623228,0.005736393412571496,-14.657946171579514,0.05634248721841438,1.0,4324.3608748416755,4324.360105534148,4324.360820548551
standard_isa,288.4153265295442,75823.3180070653,68096.32932278232,9930.423559701248,9930.423559701248,223.60224686194186,0.416276193266004,299.76496617585013,26718.69785574842,troposphere,240.0,260.1452264313394,0.8006272482796059,0.49601014512637437,0.033071172883072916,44524.947499269736,48677.446253849645,14.65191132240874,1.4923695346964787,0.005736678528254151,-14.65191132240874,0.05632204566427378,1.0,4353.670732335664,4353.669957873919,4353.670677217684
standard_isa,290.4153265295442,76343.59617817741,68067.03153344507,9933.408329083037,9933.408329083037,223.58284586096025,0.41612249714000754,299.75196123819455,26706.515456021203,troposphere,240.0,260.1330335190654,0.8006619840238065,0.4959798655958486,0.03306982121844142,44506.68902033644,48657.39952679217,14.645877257564441,1.492368932256805,0.005736945101005128,-14.645877257564441,0.056301489508794086,1.0,4382.968520915637,4382.967741325931,4382.968466554928
standard_isa,292.4153265295442,76863.85049768568,68037.7458113091,9936.393091475937,9936.393091475937,223.56344490540639,0.41596884479102,299.7389557667399,26694.33758294413,troposphere,240.0,260.1213751643597,0.8006967242081494,0.495949599456932,0.03306847023406711,44488.43748239176,48637.36113616328,14.639845701985145,1.4923685665512645,0.005737200818688199,-14.639845701985145,0.05628082541365486,1.0,4412.254243875186,4412.253459145253,4412.254188690902
standard_isa,294.4153265295442,77384.08203547946,68008.47214748722,9939.377764178942,9939.377764178942,223.54404453283686,0.4158152404657924,299.7259501217923,26682.16457244929,troposphere,240.0,260.11025166427834,0.8007314678708235,0.49591934160436374,0.03306711970197875,44470.19303143873,48617.336291287895,14.633818223677654,1.4923702601426252,0.005737452678600351,-14.633818223677654,0.05626005945573177,1.0,4441.527907800849,4441.52711794539,4441.52785251278
