scenario,time_s,distance_m,mass_kg,reference_height_m,height_m,temperature_k,density_kgm3,sound_speed_mps,pressure_pa,atmosphere_layer,airspeed_mps,groundspeed_mps,mach,cl,cd,drag_n,thrust_n,fuel_flow_kgs,climb_rate_mps,dh_dx,mass_rate_kgs,fuel_per_meter_kgpm,implicit_denominator,cumulative_fuel_time_kg,cumulative_fuel_path_kg,path_integral_mass_kg
temp_plus_10K,0.0,0.0,72450.0,9500.0,9500.0,236.39999999999998,0.4409406512921117,308.22405486918115,29921.624098583914,troposphere,240.0,267.5,0.7786543464359479,0.4982033943351624,0.03316929799571848,47302.99764495481,51720.99538854688,15.568019611952607,1.4923739720217746,0.005578968119707569,-15.568019611952607,0.058198204156832176,1.0,0.0,0.0,0.0
temp_plus_10K,0.00037383125971575783,0.09999985884558174,72449.99418018784,9500.000557896024,9500.000557896024,236.39999637367583,0.44094062250527155,308.22405250513646,29921.62168615755,troposphere,240.0,267.4999832631286,0.7786543524081414,0.49820338684038795,0.033169297659665496,47302.99407752763,51720.99132548792,15.568018388971861,1.4923739244806524,0.005578968291047204,-15.568018388971861,0.05819820322627178,1.0,0.00581981215422165,0.005819812154221612,0.00581981215509586
temp_plus_10K,0.004112143856873337,1.0999981031805974,72449.93598209067,9500.006136856253,9500.006136856253,236.39996011043434,0.44094033463694954,308.22402886468836,29921.59756190256,troposphere,240.0,267.4998158954422,0.7786544121300841,0.4982033118926675,0.03316929429913701,47302.95840326981,51720.95209172062,15.568006579607903,1.4923739209026512,0.005578971768287033,-15.568006579607903,0.058198195492190456,1.0,0.06401790933694897,0.06401790933691197,0.06401790933159646
temp_plus_10K,0.04149526982844912,11.099946135842183,72449.35400354635,9500.061926458546,9500.061926458546,236.39959747801942,0.4409374559616372,308.2237924601079,29921.356320218933,troposphere,240.0,267.49814232129023,0.7786550093502668,0.4982025624178378,0.03316926069398648,47302.60166207567,51720.55985800123,15.567888517258368,1.4923739197200279,0.005579006668119391,-15.567888517258368,0.05819811824547133,1.0,0.6459964536589093,0.6459964536219078,0.6459964536479674
temp_plus_10K,0.415326529544207,111.09598678526287,72443.53446086685,9500.619822481302,9500.619822481302,236.39597115387153,0.44090866999928346,308.22142840433133,29918.94399000412,troposphere,240.0,267.4814168509582,0.7786609816276725,0.4981950679072549,0.03316892465592014,47299.03438854533,51716.63728516483,15.56670782283461,1.492373776527277,0.0055793549850935405,-15.56670782283461,0.058197343225187284,1.0,6.465539138938201,6.465539101935937,6.465539133147104
temp_plus_10K,2.415326529544207,645.9695494014735,72412.40736284145,9503.605001562233,9503.605001562233,236.37656748984546,0.4407546670639745,308.20877855301944,29906.03881650461,troposphere,240.0,267.3922398342209,0.7786929403073901,0.4981550047162833,0.03316712839257461,47279.95294432379,51695.65145212143,15.560391087088547,1.4923716608270499,0.005581207823204957,-15.560391087088547,0.05819312892825817,1.0,37.59263804886136,37.59263234958405,37.59263715855195
temp_plus_10K,4.415326529544207,1180.6653207837549,72381.2928931065,9506.589470275321,9506.589470275321,236.35716844321038,0.44060074191655957,308.1961311929028,29893.14122014751,troposphere,240.0,267.30361852529563,0.7787248953160343,0.4981149124823786,0.03316533097167974,47260.87998384982,51674.68074818064,15.554078905202369,1.4923715298280853,0.005583057715647266,-15.554078905202369,0.058188807884508476,1.0,68.70710804115228,68.70709708911714,68.7071068935038
temp_plus_10K,6.415326529544207,1715.1843509190264,72350.19104803575,9509.574824767295,9509.574824767295,236.33776363901256,0.4404468122311511,308.18347955983944,29880.24430226259,troposphere,240.0,267.2155055750609,0.7787568637448641,0.4980748842687612,0.03316353656527029,47241.812620425924,51653.71112881643,15.547767049773743,1.4923696119166756,0.005584891523061219,-15.547767049773743,0.05818437450444421,1.0,99.8089539961284,99.80893738126618,99.80895196425263
temp_plus_10K,8.415326529544206,2249.527718706572,72319.10182137319,9512.559198163464,9512.559198163464,236.31836521193748,0.4402929742572274,308.17083156541815,29867.356126445433,troposphere,240.0,267.12795605885134,0.7787888256032209,0.4980348112262011,0.033161740293690296,47222.75422398402,51632.75912180561,15.541460495663486,1.4923703576058707,0.005586724727819519,-15.541460495663486,0.05817983533044937,1.0,130.8981815415656,130.89815926782302,130.8981786268123
temp_plus_10K,10.415326529544206,2783.696522612445,72288.02520527042,9515.544131407418,9515.544131407418,236.29896314585176,0.44013914854616565,308.1581806790523,29854.470035891518,troposphere,240.0,267.0409246584138,0.7788207973941823,0.49799478317068346,0.03315994618293472,47203.70200613329,51611.80998855674,15.535154806555576,1.4923697247405985,0.005588543129295884,-15.535154806555576,0.05817518354696912,1.0,161.97479684378467,161.97476989892095,161.97479472958366
