scenario,temperature_offset_k,final_time_s,final_distance_m,final_mass_kg,fuel_used_kg,mean_fuel_flow_kgs,mean_fuel_per_meter_kgpm,max_fuel_flow_kgs,min_implicit_denominator,fuel_delta_vs_standard_kg,fuel_delta_vs_standard_pct
temp_minus_10K,-10.0,721.7526004740705,189781.3095914006,62051.49311204424,10398.506887955758,14.407300896630899,0.05479204938749636,15.51657739434469,1.0,-28.749423889632453,-0.27571417667150877
temp_minus_5K,-5.0,721.7526004740705,189781.3095914006,62036.34022454266,10413.659775457338,14.428295469413353,0.05487189332752503,15.532716758683927,1.0,-13.59653638805321,-0.13039418981777123
temp_minus_2K,-2.0,721.7526004740705,189781.3095914006,62027.99886918259,10422.001130817407,14.43985255331522,0.05491584578721681,15.541309319208395,1.0,-5.255181027983781,-0.05039850245182792
standard_isa,0.0,721.7526004740705,189781.3095914006,62022.74368815461,10427.25631184539,14.447133692343375,0.05494353650681032,15.54659748647224,1.0,0.0,0.0
temp_plus_2K,2.0,721.7526004740705,189781.3095914006,62017.72896036276,10432.271039637242,14.45408167949099,0.05496996022473411,15.551541662235074,1.0,5.014727791851328,0.04809249568512653
temp_plus_5K,5.0,721.7526004740705,189781.3095914006,62010.64968100664,10439.350318993362,14.463890136504473,0.05500726252479391,15.558328364175884,1.0,12.094007147970842,0.11598455803020799
temp_plus_10K,10.0,721.7526004740705,189781.3095914006,62000.0,10450.0,14.478645443239278,0.05506337806656969,15.568019611952607,1.0,22.743688154609117,0.21811766656941411
