artifact_id,parameter,beta_factor,beta_s2pm2,nominal_beta_s2pm2,perturbation_pct,reoptimization_performed,post_solution_metric_only,claim_level,fuel_used_kg,fuel_delta_vs_nominal_kg,fuel_delta_vs_nominal_pct,terminal_mass_kg,final_time_s,terminal_height_error_m,terminal_speed_error_mps,max_scaled_constraint_violation,fuel_identity_residual_kg,near_zero_thrust_fraction,max_height_m,min_airspeed_mps,optimizer_success,optimizer_iterations,optimizer_message,validation_status
q4-T04,beta_s2pm2,0.8,0.0024,0.003,-20.0,True,False,local_reoptimization_sensitivity,9849.724125373255,-14.116015713610976,-0.1431087234961573,62600.27587462674,733.7416748402458,0.0001071976093953,3.010903753875027e-06,0.0,0.0426380931166932,0.0,10577.12410719761,233.84518015518927,False,80,Iteration limit reached,passed
q4-T04,beta_s2pm2,0.9,0.0027,0.003,-9.999999999999998,True,False,local_reoptimization_sensitivity,9852.887570775529,-10.952570311339514,-0.111037589363575,62597.11242922447,734.0737751002094,1.60760337166721e-05,4.537644997526513e-07,0.0,0.0533061676323995,0.0,10577.124016076034,233.90034413877632,False,80,Iteration limit reached,passed
q4-T04,beta_s2pm2,1.0,0.003,0.003,0.0,True,False,local_reoptimization_sensitivity,9863.840141086868,0.0,0.0,62586.15985891313,733.7575702175238,6.306127033894882e-07,1.5136890851863427e-08,0.0,0.0561984455562196,0.0,10577.124000630612,233.818984282123,True,113,Optimization terminated successfully,passed
q4-T04,beta_s2pm2,1.1,0.0033,0.003,10.000000000000009,True,False,local_reoptimization_sensitivity,9869.461579384675,5.62143829780689,0.0569903629560188,62580.538420615325,733.7157494218565,0.0001914421027322,5.365060474105121e-06,0.0,0.0625244688872044,0.0,10577.124191442104,233.89582137165556,False,80,Iteration limit reached,passed
q4-T04,beta_s2pm2,1.2,0.0036,0.003,20.0,True,False,local_reoptimization_sensitivity,9870.07035267281,6.230211585942016,0.0631621305376865,62579.92964732719,734.0940144825363,2.738121838774532e-05,7.635871099864744e-07,0.0,0.0738162000270676,0.0,10577.124027381218,233.93609417968636,False,80,Iteration limit reached,passed
