scenario,distance_m,temperature_k,density_kgm3,sound_speed_mps,pressure_pa
standard_isa,0.0,226.4,0.4388991225937823,301.6344940486747,28523.22884701944
standard_isa,0.0999998588455817,226.39999637367583,0.4388990926746069,301.6344916329847,28523.22644576246
standard_isa,1.0999981031805974,226.39996011043436,0.43889879348294,301.6344674760832,28523.202433201743
standard_isa,11.099946135842185,226.39959747801944,0.4388958015748506,301.63422590696115,28522.96230849482
standard_isa,111.09598678526288,226.39597115387156,0.438865883352136,301.6318102051015,28520.56115145444
standard_isa,645.9695494014735,226.37656748984543,0.4387058240224043,301.61888398630515,28507.71586838788
standard_isa,1180.6653207837549,226.3571684432104,0.438545847428251,301.60596028970144,28494.878325395905
standard_isa,1715.1843509190264,226.33776363901256,0.4383858680066607,301.59303220334846,28482.041655838784
standard_isa,2249.527718706572,226.31836521193748,0.4382259857890987,301.5801078117078,28469.213885525107
standard_isa,2783.696522612445,226.29896314585176,0.4380661182043171,301.5671804414788,28456.38838869993
standard_isa,3317.6917834275814,226.27956154624215,0.4379062990826913,301.55425282789224,28443.56787908644
standard_isa,3851.5146156355017,226.26016417221905,0.4377465593647806,301.5413274758365,28430.75483768908
standard_isa,4385.166059482293,226.2407594819063,0.4375868040038713,301.5283966942313,28417.941640270383
standard_isa,4918.647186606409,226.22136098466828,0.4374271442154028,301.51546948524657,28405.13720635977
standard_isa,5451.95909375362,226.2019589549253,0.4372674999349634,301.5025393677735,28392.3351140931
standard_isa,5985.102804557161,226.18255737722455,0.4371079039502996,301.4896089970353,28379.53799241277
standard_isa,6518.079430802926,226.1631599010588,0.4369483862575629,301.4766808053958,28366.748245545303
standard_isa,7050.89001446336,226.14375532518923,0.4367888547436004,301.46374732716004,28353.95848771993
standard_isa,7583.535627015041,226.12435675744803,0.4366294171674287,301.4508172988019,28341.177357535464
standard_isa,8116.01736353132,226.10495476421804,0.4364699959762668,301.4378844324255,28328.3986372305
standard_isa,8648.336250407916,226.0855532085339,0.4363106229133458,301.4249513028301,28315.624870887143
standard_isa,9180.493396809585,226.06615562973377,0.4361513270285593,301.4120202694662,28302.858385870677
standard_isa,9712.489846385582,226.04675116885076,0.4359920191477899,301.39908409321026,28290.09203511401
standard_isa,10244.326670455515,226.02735253027512,0.4358328035673173,301.38615124345324,28277.334176017077
standard_isa,10776.00496246865,226.00795057372372,0.4356736052504413,301.37321562650914,28264.578795105084
standard_isa,11307.52575150259,225.98854904016096,0.435514454894133,301.36027973634725,28251.82835153186
standard_isa,11838.890144178176,225.969151358248,0.4353553806003113,301.347345859125,28239.08509572901
standard_isa,12370.099185771478,225.94974701288004,0.43519629613896,301.3344069834477,28226.342119536785
standard_isa,12901.153947450048,225.930348303148,0.4350373023377898,301.3214713102704,28213.607498927227
