scenario,temperature_offset_k,fuel_used_kg,fuel_delta_vs_standard_kg,fuel_delta_vs_standard_pct,final_time_s,final_mass_kg
temp_minus_10K,-10.0,10398.506887955758,-28.749423889632453,-0.2757141766715087,721.7526004740705,62051.49311204424
temp_minus_5K,-5.0,10413.659775457338,-13.59653638805321,-0.1303941898177712,721.7526004740705,62036.34022454266
temp_minus_2K,-2.0,10422.001130817407,-5.255181027983781,-0.0503985024518279,721.7526004740705,62027.99886918259
standard_isa,0.0,10427.25631184539,0.0,0.0,721.7526004740705,62022.74368815461
temp_plus_2K,2.0,10432.271039637242,5.014727791851328,0.0480924956851265,721.7526004740705,62017.72896036276
temp_plus_5K,5.0,10439.350318993362,12.094007147970842,0.1159845580302079,721.7526004740705,62010.64968100664
temp_plus_10K,10.0,10450.0,22.74368815460912,0.2181176665694141,721.7526004740705,62000.0
