strategy,final_time_s,final_distance_m,final_height_m,fuel_used_kg,mean_climb_rate_mps,max_climb_rate_mps,mean_groundspeed_mps,max_abs_energy_residual,max_abs_lift_balance_residual
constant_speed,761.9167388253561,200668.44247343735,10637.064671167678,10450.0,1.4923739212248914,1.4923739212248883,263.3731905966616,9.719248856475671e-17,0.0
constant_mach,811.0317770492791,211331.29560510753,10437.817757263148,10450.0,1.1563267726391018,1.2049117991909557,260.57091914940696,9.949371556560188e-17,0.0
